SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P0A786	PYRB_ECOLI	Aspartate carbamoyltransferase catalytic chain (EC 2.1.3.2) (Aspartate transcarbamylase) (	18	771	19	0.95	7.86E+00	9.59E+02	0.00744285	34297	6.59	-0.11	10					1.63	"01;63;63.01;01.03.04.03;01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.78	"c.78.1;"	Alpha and beta proteins (a/b)	ATC-like	0	Cytoplasmic	C	low	pyrBI	228	no	2.981818607
P05020	PYRC_ECOLI	Dihydroorotase (EC 3.5.2.3) (DHOase)	10	484	14	0.71	4.18E+00	6.64E+02	0.024880383	38697	6.15	-0.13	8					1.63	"01;01.03;63.17;63;63.17.09;01.03.04.03;01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.1	"c.1.9;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic	C	low	pyrC	367	no	2.822168079
P0A7E1	PYRD_ECOLI	Dihydroorotate dehydrogenase (EC 1.3.3.1) (Dihydroorotate oxidase) (DHOdehase) (DHODase) (	3	110	20	0.15	4.13E-01	1.73E+02	0.004784689	36776	7.86	-0.11	9					01.63.40	"01;01.03;63;01.03.04.03;40;63.21;40.30;63.21.05;01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.1	"c.1.4;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	low	pyrD	860	no	2.238046103
P0A7E3	PYRE_ECOLI	Orotate phosphoribosyltransferase (EC 2.4.2.10) (OPRT) (OPRTase)	10	487	11	0.91	7.11E+00	9.05E+02	0.011483254	23437	5.25	-0.07	6					01.63.40	"01;01.03;63.17;63;40.03;01.03.04.03;63.17.07;40;01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.61	"c.61.1;"	Alpha and beta proteins (a/b)	PRTase-like	0	Unknown		low	rph-pyrE	423	no	2.956648579
P08244	PYRF_ECOLI	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdeca	2	78	10	0.2	5.85E-01	2.12E+02	0.004784689	26351	6.13	0.06	9					01.63.06	"01;01.03;06.10;63;63.01;01.03.04.03;06;01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding. modification. destination); "	c.1	"c.1.2;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	low		986	no	2.326335861
P0A7E5	PYRG_ECOLI	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase) (CTP synthetase)	32	1400	26	1.23	1.60E+01	1.45E+03	0.03319378	60244	5.82	-0.14	17				1.01	63.01.40	"01;63.19;01.03;63.17;63;01.01.10;01.01.10.01;40.03;63.19.03;01.01;63.19.05;63.17.07;01.03.04.03;40;01.03.04;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; "					1	Cytoplasmic	C	low		97	no	3.161368002
P0A7E9	PYRH_ECOLI	Uridylate kinase (EC 2.7.4.-) (UK) (Uridine monophosphate kinase) (UMP kinase)	10	403	11	0.91	7.11E+00	9.05E+02	0.010047847	25840	7.44	0.13	8				1.23	63.01.06	"01;01.03;63.19;06.10;63;06;01.03.04;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; PROTEIN FATE (folding. modification. destination); "					0	Unknown	C	low		416	no	2.956648579
P0A7F3	PYRI_ECOLI	Aspartate carbamoyltransferase regulatory chain	6	203	7	0.86	6.20E+00	8.35E+02	0.004784689	16990	7.37	-0.29	4					01.63.62	"01;01.03;63;63.01;62.02;62;62.02.01;01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN ACTIVITY REGULATION; "	g.41.d.58	"g.41.7;d.58.2;"	Alpha and beta proteins (a+b).Small proteins	Ferredoxin-like.Rubredoxin-like	0	Cytoplasmic	IM	low	pyrBI	511	no	2.921686475
P28304	QOR_ECOLI	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin homolog pro	2	118	16	0.13	3.34E-01	1.53E+02	0.004784689	35173	8.6	-0.06	6	0.32	N			2	"02;02.11;"	"ENERGY; "	b.35.c.2	"b.35.1;c.2.1;"	Alpha and beta proteins (a/b).All beta proteins	NAD(P)-binding Rossmann-fold domains.GroES-like	0	Cytoplasmic		low		802	no	2.184691431
P0A7F9	QUEA_ECOLI	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-) (Queuosine biosynthesi	2	72	11	0.18	5.20E-01	1.98E+02	0.007177033	39432	4.96	-0.13	13	0.38	N			1.04	"01;01.03;04;04.03;01.03.10;04.03.06;"	"METABOLISM; TRANSCRIPTION; "					0	Cytoplasmic		low		994	no	2.29666519
P60240	RAPA_ECOLI	RNA polymerase associated protein rapA (EC 3.6.1.-) (ATP-dependent helicase hepA)	19	830	41	0.46	1.91E+00	4.21E+02	0.015109544	109639	4.91	-0.36	21					63.04.62	"04.05.01.01;63.19;62.01;63;62.01.07;04.05;04.05.01.04.01;04.05.01.04;62.02;62.02.01;63.19.03;04;63.01;62;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; PROTEIN ACTIVITY REGULATION; "					0	CytoplasmicMembrane		low		161	no	2.624282096
P37759	RBB1_ECOLI	dTDP-glucose 4.6-dehydratase (EC 4.2.1.46)	17	692	18	0.94	7.80E+00	9.55E+02	0.010413735	40559	5.62	-0.45	3	0.31	N			1	"01;01.05.01.03.02;01.05;01.05.01;01.05.01.03;"	"METABOLISM; "	c.2	"c.2.1;"	Alpha and beta proteins (a/b)	NAD(P)-binding Rossmann-fold domains	0	Unknown	C	low	rfbBDACX	250	no	2.980003372
P37760	RBD1_ECOLI	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6	5	236	10	0.5	2.16E+00	4.53E+02	0.006698565	32695	5.68	-0.09	4	0.28	N			67.01.63	"01;63;63.21.07;67.15;01.05;01.05.01;01.06;01.05.01.03.02;63.21;01.06.01;01.06.01.03;67;01.05.01.03;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.2	"c.2.1;"	Alpha and beta proteins (a/b)	NAD(P)-binding Rossmann-fold domains	0	Unknown		low	rfbBDACX	640	no	2.656098202
P0A7G2	RBFA_ECOLI	Ribosome-binding factor A (P15B protein)	6	309	8	0.75	4.62E+00	7.04E+02	0.050239234	15024	6.05	-0.42	3				1.2	11.63.40.05.04	"11.01.06;63;04.01;40.03;63.03;05.01.99;05.01;11.01;04;05;63.03.03;63.01;11;40;04.01.04;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; TRANSCRIPTION; "					0	Cytoplasmic		low	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	573	no	2.847572659
P02925	RBSB_ECOLI	D-ribose-binding periplasmic protein precursor	27	1463	13	2.08	1.18E+02	4.63E+03	0.026227184	30952	7.76	-0.03	7	0.48	N			67.01.40.13	"01;13.11.03;67.07.99;40.28;01.05.07;13;13.11;01.05;13.11.03.03;40;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	c.93	"c.93.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like I	0	Periplasmic	P	high	rbsDACBK	117	no	3.665580991
P04982	RBSD_ECOLI	High affinity ribose transport protein rbsD	4	211	7	0.57	2.73E+00	5.18E+02	0.025119617	15294	6.39	-0.1	4	0.31	N			67.01.08.40	"01;67.07.99;01.05.07;08.19;01.05;40;40.30;08;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low	rbsDACBK	590	no	2.71432976
P0A9J6	RBSK_ECOLI	Ribokinase (EC 2.7.1.15)	6	295	13	0.46	1.89E+00	4.20E+02	0.007974482	32292	4.84	0.05	8	0.35	N			63.01.40.02	"01.01.01;01;63.19;01.03;02.07;63;01.04;63.13;01.01.01.11;40.03;02;01.05;63.19.03;01.01.01.11.13;01.01;01.01.01.11.15;63.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	c.72	"c.72.1;"	Alpha and beta proteins (a/b)	Ribokinase-like	0	Cytoplasmic	C	low	rbsDACBK	579	no	2.62324929
P69407	RCSB_ECOLI	Capsular synthesis regulator component B	10	407	8	1.25	1.68E+01	1.49E+03	0.004784689	23672	7.77	0.02	6	0.39	N			01.30.10	"10.01.05.07;01.05.04;01;30.34;10;10.01;30;30.34.03;10.01.05;01.05;"	"METABOLISM; CONTROL OF CELLULAR ORGANIZATION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; "	c.23	"c.23.1;"	Alpha and beta proteins (a/b)	Flavodoxin-like	0	Cytoplasmic		low	rcsB	414	no	3.173186268
P69411	RCSF_ECOLI	Protein rcsF	3	134	6	0.5	2.16E+00	4.53E+02	0.004784689	14165	9.5	-0.19	9	0.32	N			1.3	"01;30.34;30;30.34.03;01.05.01.03.02;01.05;01.05.01;01.05.01.03;"	"METABOLISM; CONTROL OF CELLULAR ORGANIZATION; "					0	Unknown		low		816	no	2.656098202
P36767	RDGC_ECOLI	Recombination associated protein rdgC	5	219	12	0.42	1.61E+00	3.82E+02	0.00861244	33994	5.15	-0.22	9					63.14	"63.03.01;14.99;63;63.03;14;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL FATE; "					0	Cytoplasmic		low		600	no	2.582063363
P0A7G6	RECA_ECOLI	RecA protein (Recombinase A)	11	464	15	0.73	4.41E+00	6.86E+02	0.027838191	37843	4.92	-0.18	11					11.63.03	"63.03.01;63.19;03.01.05.03;11.01.06;63;63.03;63.19.03;03.01;11.01;03;11;03.01.05;11.01.09;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; "	d.48.c.37	"d.48.1;c.37.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	P-loop containing nucleotide triphosphate hydrolases.Anti-LPS factor/recA domain	0	Unknown	OM	low	recA-oraA	403	no	2.836324116
Q57154	REPB_ECOLI	RepFIB replication protein A	2	52	19	0.11	2.74E-01	1.37E+02	0.007177033	37285	10.49	-0.51	10												0			low		1081	no	2.136720567
P0A7I0	RF1_ECOLI	Peptide chain release factor 1 (RF-1)	4	172	20	0.2	5.85E-01	2.12E+02	0.005980861	40518	5.02	-0.66	16					5	"05;05.04;05.04.03;05.07;"	"PROTEIN SYNTHESIS; "	e.38	"e.38.1;"	Multi-domain proteins (alpha and beta)	Polypeptide chain release factor 2 (RF2)	0	Cytoplasmic		low	hemA-prfA-hemK	723	no	2.326335861
P07012	RF2_ECOLI	Peptide chain release factor 2 (RF-2)	22	1012	16	1.38	2.27E+01	1.78E+03	0.016963897	41222	4.47	-0.68	15					40.05	"05;05.04;05.04.03;40.03;40;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	e.38	"e.38.1;"	Multi-domain proteins (alpha and beta)	Polypeptide chain release factor 2 (RF2)	0	Cytoplasmic	C	low	prfB-lysS	158	no	3.250420002
P0A7I4	RF3_ECOLI	Peptide chain release factor 3 (RF-3)	17	658	23	0.74	4.48E+00	6.92E+02	0.011820996	59444	5.85	-0.33	16				1.13	40.05	"05;05.04;05.04.03;40.03;40;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic	C	low		253	no	2.840106094
P76658	RFAE_ECOLI	ADP-heptose synthase (EC 2.7.-.-)	6	255	25	0.24	7.38E-01	2.43E+02	0.006379585	51052	5.17	0	15					63.01	"01;63.19;01.04;63;63.13;01.05.01.03.02;01.05;01.05.01;01.05.01.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; "	c.26	"c.26.1;c.26.1;"	Alpha and beta proteins (a/b)	Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic	C	low		542	no	2.385606274
P37692	RFAF_ECOLI	ADP-heptose--LPS heptosyltransferase II (EC 2.-.-.-)	2	72	16	0.13	3.34E-01	1.53E+02	0.007177033	39043	7.54	-0.19	8	0.33	N			1.3	"01.05.01.03.01;01;30.34;30;01.05.01.03.02;01.05;30.34.07;01.05.01;01.05.01.03;"	"METABOLISM; CONTROL OF CELLULAR ORGANIZATION; "					0	Unknown		low	rfaDFCL	995	no	2.184691431
P37745	RFBC_ECOLI	dTDP-4-dehydrorhamnose 3.5-epimerase (EC 5.1.3.13) (dTDP-4-keto-6-deoxyglucose 3.5-epimera	2	97	8	0.25	7.78E-01	2.50E+02	0.009569378	21271	5.63	-0.2	4	0.21	N			1	"01.06;01;01.05.01.03.02;01.05;01.05.01;01.06.01.03;01.06.01;01.05.01.03;"	"METABOLISM; "	b.82	"b.82.1;"	All beta proteins	Double-stranded beta-helix	0	Cytoplasmic	C	low	rfbBDACX	950	no	2.397940009
P0A8J8	RHLB_ECOLI	ATP-dependent RNA helicase rhlB (EC 3.6.1.-)	5	134	21	0.24	7.30E-01	2.41E+02	0.005741627	46996	7.7	-0.35	10					63.03.40.04	"63.19;63;03.01.05.01;04.05;04.05.05;63.03;63.19.03;03.01;03;04;63.03.03;04.05.05.11;40.37;40;03.01.05;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; TRANSCRIPTION; "	c.37	"c.37.1;c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Unknown		low		624	no	2.382017043
P25888	RHLE_ECOLI	Putative ATP-dependent RNA helicase rhlE	4	162	24	0.17	4.68E-01	1.86E+02	0.005980861	49990	10.85	-0.51	15	0.46	N			63	"63.19;63;63.03.03;63.03;63.01;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.37	"c.37.1;c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic		low		673	no	2.269512944
P0AG30	RHO_ECOLI	Transcription termination factor rho	43	2096	21	2.05	1.11E+02	4.45E+03	0.031601202	47005	7.29	-0.3	13				1.64	63.04	"63.19;63;04;04.05;63.03.03;04.05.01;63.03;04.05.01.04;63.01;04.05.01.04.99;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; "	b.40.a.140	"b.40.4;a.140.3;"	All beta proteins.All alpha proteins	LEM/SAP HeH motif.OB-fold	0	Cytoplasmic	C	high		56	no	3.648360011
P0A7J0	RIBB_ECOLI	3.4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase)	16	930	9	1.78	5.89E+01	3.09E+03	0.024222488	23355	4.74	-0.15	4	0.47	E			1.63	"01;63;63.01;01.07;01.07.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	d.115	"d.115.1;"	Alpha and beta proteins (a+b)	YrdC/RibB	0	Unknown	C	high		256	no	3.489958479
P0A948	RIMJ_ECOLI	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128) (Acetylating enzyme for N-termi	2	47	11	0.18	5.20E-01	1.98E+02	0.004784689	22689	9.93	-0.52	7	0.3	N			05.04.20.06	"06.07.04;06.07;05;04;04.05;04.05.01;04.05.01.04;05.01;05.01.99;20;06;"	"PROTEIN SYNTHESIS; TRANSCRIPTION; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; PROTEIN FATE (folding. modification. destination); "					0	Cytoplasmic		low		1098	no	2.29666519
P0A7X6	RIMM_ECOLI	16S rRNA processing protein rimM (21K)	6	248	9	0.67	3.64E+00	6.13E+02	0.00877193	20606	4.45	-0.29	8					5.04	"04.01;05;04;05.01;05.01.99;04.01.04;"	"PROTEIN SYNTHESIS; TRANSCRIPTION; "					0	Cytoplasmic		low	rpsP-rimM-trmD-rplS	599	no	2.787460475
P00452	RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 alpha chain (EC 1.17.4.1) (Ribonucleotide reductase	34	1264	33	1.03	9.72E+00	1.08E+03	0.010835913	85776	6.12	-0.34	20					1.03	"01;01.03;03;03.01.03;03.01;"	"METABOLISM; CELL CYCLE AND DNA PROCESSING; "	c.7.a.98	"c.7.1;a.98.1;"	Alpha and beta proteins (a/b).All alpha proteins	PFL-like glycyl radical enzymes.R1 subunit of ribonucleotide reductase. N-terminal domain	0	Cytoplasmic		low	nrdAB	81	no	3.033423755
P69924	RIR2_ECOLI	Ribonucleoside-diphosphate reductase 1 beta chain (EC 1.17.4.1) (Ribonucleotide reductase	11	385	18	0.61	3.08E+00	5.57E+02	0.01000435	43387	4.52	-0.28	11					1.03	"01;01.03;03;03.01.03;03.01;"	"METABOLISM; CELL CYCLE AND DNA PROCESSING; "	a.25	"a.25.1;"	All alpha proteins	Ferritin-like	0	Cytoplasmic		low	nrdAB	418	no	2.745855195
P0AFU8	RISA_ECOLI	Riboflavin synthase alpha chain (EC 2.5.1.9)	8	396	11	0.73	4.34E+00	6.79E+02	0.007177033	23446	5.91	-0.1	10	0.31	E			1	"01;01.03;01.03.07.03;01.03.07;01.03.10;01.03.04.03;01.03.04;"	"METABOLISM; "	b.43	"b.43.4;"	All beta proteins	Reductase/isomerase/elongation factor common domain	0	Cytoplasmic	C	low		456	no	2.831869774
P61714	RISB_ECOLI	6.7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9) (DMRL synthase) (Lumazine synthase) (	15	764	5	3	9.99E+02	1.60E+04	0.020733652	16158	5.02	0.29	4				1.24	1	"01;01.07;01.07.01;"	"METABOLISM; "	c.16	"c.16.1;"	Alpha and beta proteins (a/b)	Lumazine synthase	0	Unknown	C	high		278	no	4.204119983
P0A7L0	RL1_ECOLI	50S ribosomal protein L1	47	2303	11	4.27	1.87E+04	8.78E+04	0.061081136	24599	10.45	-0.12	13				2.08	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;05.07;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	e.24	"e.24.1;"	Multi-domain proteins (alpha and beta)	Ribosomal protein L1	0	Unknown	C	-		47	yes	4.943494516
P0A7J3	RL10_ECOLI	50S ribosomal protein L10 (L8)	25	1355	8	3.13	1.33E+03	1.89E+04	0.088421053	17581	9.71	0.03	3				1.63	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;05.07;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "					0	Unknown	C	-	rplJL-rpoBC	119	yes	4.276461804
P0A7J7	RL11_ECOLI	50S ribosomal protein L11	16	934	6	2.67	4.63E+02	1.02E+04	0.089712919	14745	10.43	-0.08	7				1.82	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	d.47.a.4	"d.47.1;a.4.7;"	Alpha and beta proteins (a+b).All alpha proteins	DNA/RNA-binding 3-helical bundle.Ribosomal protein L11. N-terminal domain	0	Unknown		-		238	yes	4.008600172
P0AA10	RL13_ECOLI	50S ribosomal protein L13	24	1154	6	4	1.00E+04	6.10E+04	0.064593301	16020	10.73	-0.54	5				1.79	5.4	"05.01.01;05;40.03;05.01;40;"	"PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	c.21	"c.21.1;"	Alpha and beta proteins (a/b)	Ribosomal protein L13	0	Cytoplasmic		-	rplM-rpsI	134	yes	4.785329835
P0ADY3	RL14_ECOLI	50S ribosomal protein L14	16	977	5	3.2	1.58E+03	2.09E+04	0.076854067	13542	11.18	-0.13	4				1.32	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	b.39	"b.39.1;"	All beta proteins	Ribosomal protein L14	0	Unknown		-	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-prlA-rpmJ	237	yes	4.320146286
P02413	RL15_ECOLI	50S ribosomal protein L15	22	1231	6	3.67	4.64E+03	3.90E+04	0.115702479	14981	11.79	-0.25	4					63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic	OM	-	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-prlA-rpmJ	162	yes	4.591064607
P0ADY7	RL16_ECOLI	50S ribosomal protein L16	11	627	4	2.75	5.61E+02	1.14E+04	0.072640278	15282	11.84	-0.38	3				1.41	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "					0	Unknown		-	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	381	yes	4.056904851
P0AG44	RL17_ECOLI	50S ribosomal protein L17	18	791	4	4.5	3.16E+04	1.19E+05	0.06804891	14366	11.66	-0.56	0	0.55	X		1.43	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	d.188	"d.188.1;"	Alpha and beta proteins (a+b)	Prokaryotic ribosomal protein L17	0	Unknown		-	rpsMKD-rpoA-rplQ	204	yes	5.075546961
P0C018	RL18_ECOLI	50S ribosomal protein L18	19	817	4	4.75	5.62E+04	1.66E+05	0.04784689	12771	11.2	-0.39	4				1.59	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	c.55	"c.55.4;"	Alpha and beta proteins (a/b)	Ribonuclease H-like motif	0	Cytoplasmic		-	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-prlA-rpmJ	203	yes	5.220108088
P0A7K6	RL19_ECOLI	50S ribosomal protein L19	22	989	7	3.14	1.39E+03	1.94E+04	0.056981296	13003	11.36	-0.55	4				1.59	5	"05.01.01;05;05.01;"	"PROTEIN SYNTHESIS; "					0	Cytoplasmic		-	rpsP-rimM-trmD-rplS	178	yes	4.28780173
P60422	RL2_ECOLI	50S ribosomal protein L2	49	2226	13	3.77	5.88E+03	4.48E+04	0.070207988	29730	11.61	-0.71	10				2.44	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	b.40.b.34	"b.40.4;b.34.5;"	All beta proteins	SH3-like barrel.OB-fold	0	Unknown		-	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	34	yes	4.651278014
P0A7L3	RL20_ECOLI	50S ribosomal protein L20	15	670	5	3	9.99E+02	1.60E+04	0.081658692	13367	12.05	-0.36	2				1.84	63.05.40	"05.01.01;63.07;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	a.144	"a.144.2;"	All alpha proteins	PABP domain-like	0	Unknown		-	thrS-infC-rpmI-rplT	287	yes	4.204119983
P0AG48	RL21_ECOLI	50S ribosomal protein L21	12	555	6	2	9.90E+01	4.18E+03	0.078947368	11565	10.65	-0.37	4				1.71	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		-	rplU-rpmA	318	yes	3.621176282
P61175	RL22_ECOLI	50S ribosomal protein L22	32	1682	4	8	1.00E+08	1.28E+07	0.077003589	12227	11.02	-0.35	2				1.23	63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	d.55	"d.55.1;"	Alpha and beta proteins (a+b)	Ribosomal protein L22	0	Cytoplasmic		-	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	98	yes	7.10720997
P0ADZ0	RL23_ECOLI	50S ribosomal protein L23	11	439	2	5.5	3.16E+05	4.53E+05	0.031752936	11200	10.73	-0.37	3					63.05.40	"05.01.01;63;05;40.03;63.03.03;63.03;05.01;40;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; "	d.12	"d.12.1;"	Alpha and beta proteins (a+b)	Ribosomal proteins L23 and L15e	0	Cytoplasmic		-	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	376	yes	5.656098202
