Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0A9Z1	JW2537	ECK2550	glnB	regulatory protein P-II for glutamine synthetase	55.23	1	2308.02	2,68	2.68	66.96	11	365	0	0.009	GO:0005737 cytoplasm
P0ACC3	JW0152	ECK0155	yadR	conserved protein	5.31	1	238.33	2,68	2.68	42.98	4	241	0	-0.089	0
P0A9D8	JW0161	ECK0164	dapD	2.3.4.5-tetrahydropyridine-2-carboxylate N-succinyltransferase	2.98	1	1909.42	2,68	2.68	27.01	7	403	0	-0.054	GO:0005737 cytoplasm
P0A9Z1	JW2537	ECK2550	glnB	regulatory protein P-II for glutamine synthetase	0.78	1	2308.02	2,68	2.68	17.86	2	47	0	0.009	GO:0005737 cytoplasm
P0AF90	JW4212	ECK4248	yjgD	conserved protein	30.62	1	1302.81	2,69	2.69	39.13	3	143	0	-0.605	0
P0A6H1	JW0428	ECK0432	clpX	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	13.25	1	578.35	2,71	2.71	73.82	24	1411	0	-0.238	GO:0005737 cytoplasm
P0A6H1	JW0428	ECK0432	clpX	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	0.56	1	578.35	2,71	2.71	14.39	4	249	0	-0.238	GO:0005737 cytoplasm
P0AEM9	JW1905	ECK1919	fliY	cystine transporter subunit -!- periplasmic-binding component of ABC superfamily	0.35	1	17.07	2,72	2.72	11.28	3	90	0	-0.302	GO:0042597 periplasmic space
P00490	JW5689	ECK3404	malP	maltodextrin phosphorylase	8.26	1	365.77	2,73	2.73	60.73	44	2325	0	-0.348	0
P0ADE8	JW2866	ECK2893	ygfZ	predicted folate-dependent regulatory protein	5.95	1	266.13	2,73	2.73	60.43	16	821	0	-0.247	0
P34210	JW0799	ECK0803	ompX	outer membrane protein	25.83	1	1104.73	2,73	2.73	54	9	613	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AA31	JW1915	ECK1929	yedF	conserved protein	14.85	1	645.93	2,73	2.73	90.91	4	194	0	-0.271	0
P0ADE6	JW2640	ECK2659	ygaU	predicted protein	1.15	1	54.08	2,73	2.73	29.53	4	192	0	-0.458	0
P00490	JW5689	ECK3404	malP	maltodextrin phosphorylase	0.92	1	365.77	2,73	2.73	25.85	16	803	0	-0.348	0
P34210	JW0799	ECK0803	ompX	outer membrane protein	25.83	1	3.04	2,73	2.73	54	8	526	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0ADE8	JW2866	ECK2893	ygfZ	predicted folate-dependent regulatory protein	0.62	1	266.13	2,73	2.73	12.58	3	77	0	-0.247	0
P13029	JW3914	ECK3934	katG	catalase/hydroperoxidase HPI(I)	10	1	444.52	2,74	2.74	62.95	37	1839	0	-0.372	0
P08178	JW2484	ECK2495	purM	phosphoribosylaminoimidazole synthetase	1.89	1	87.54	2,74	2.74	26.96	5	310	0	0.034	GO:0005737 cytoplasm
P0A6N4	JW4107	ECK4141	efp	Elongation factor EF-P	4.62	1	208.24	2,74	2.74	32.98	6	242	0	-0.221	GO:0005737 cytoplasm
P07117	JW1001	ECK1006	putP	proline:sodium symporter	1.78	1	83	2,74	2.74	5.78	2	141	12	0.785	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P13029	JW3914	ECK3934	katG	catalase/hydroperoxidase HPI(I)	1.19	1	444.52	2,74	2.74	29.61	15	634	0	-0.372	0
P07117	JW1001	ECK1006	putP	proline:sodium symporter	2.59	1	1.92	2,74	2.74	7.37	4	257	12	0.785	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A6N4	JW4107	ECK4141	efp	Elongation factor EF-P	2.16	1	208.24	2,74	2.74	19.68	4	196	0	-0.221	GO:0005737 cytoplasm
P0A6X7	JW1702	ECK1710	ihfA	integration host factor (IHF). DNA-binding protein. alpha subunit	22.71	1	975.11	2,75	2.75	75.76	9	370	0	-0.874	GO:0005737 cytoplasm
P07862	JW0090	ECK0093	ddlB	D-Alanine:D-alanine ligase	0.67	1	32.03	2,76	2.76	15.03	4	199	0	0.077	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7X3	JW3199	ECK3219	rpsI	30S ribosomal subunit protein S9	38.81	1	1639.38	2,77	2.77	66.92	13	460	0	-0.687	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7X3	JW3199	ECK3219	rpsI	30S ribosomal subunit protein S9	18.95	1	1639.38	2,77	2.77	61.54	11	458	0	-0.687	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG14	JW1264	ECK1266	sohB	predicted inner membrane peptidase	2.16	1	99.64	2,79	2.79	42.12	9	412	2	-0.354	0
P0AG14	JW1264	ECK1266	sohB	predicted inner membrane peptidase	9	1	2	2,79	2.79	37.25	15	981	2	-0.354	0
P0AEE1	JW5682	ECK3456	dcrB	periplasmic protein	6.94	1	308.96	2,83	2.83	52.43	7	398	0	-0.229	0
P0AEE1	JW5682	ECK3456	dcrB	periplasmic protein	9	1	308.96	2,83	2.83	44.32	7	344	0	-0.229	0
P0AB71	JW2892	ECK2921	fbaA	fructose-bisphosphate aldolase. class II	137.95	1	3043.33	2,84	2.84	58.77	19	1363	0	-0.224	0
P61714	JW0405	ECK0409	ribE	riboflavin synthase beta chain	315.23	1	12491.64	2,84	2.84	66.67	10	784	0	0.294	0
P0AB71	JW2892	ECK2921	fbaA	fructose-bisphosphate aldolase. class II	0.93	1	3043.33	2,84	2.84	14.48	4	255	0	-0.224	0
P61714	JW0405	ECK0409	ribE	riboflavin synthase beta chain	3.64	1	12491.64	2,84	2.84	41.03	4	223	0	0.294	0
P76177	JW1596	ECK1599	ydgH	predicted protein	3.81	1	172.75	2,85	2.85	59	14	584	0	-0.324	0
P76177	JW1596	ECK1599	ydgH	predicted protein	0.37	1	172.75	2,85	2.85	15.29	3	112	0	-0.324	0
P24186	JW0518	ECK0522	folD	bifunctional 5.10-methylene-tetrahydrofolate dehydrogenase -!- 5.10-methylene-tetrahydrofolate cyclohydrolase	5.58	1	250.07	2,86	2.86	29.86	7	193	0	0.048	0
P0A715	JW1206	ECK1203	kdsA	3-deoxy-D-manno-octulosonate 8-phosphate synthase	11.33	1	496.91	2,87	2.87	72.89	19	1057	0	-0.028	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A715	JW1206	ECK1203	kdsA	3-deoxy-D-manno-octulosonate 8-phosphate synthase	0.87	1	496.91	2,87	2.87	26.41	6	298	0	-0.028	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A796	JW3887	ECK3908	pfkA	6-phosphofructokinase I	4.78	1	38.51	2,88	2.88	64.06	15	748	0	0.000	GO:0005737 cytoplasm
P0A796	JW3887	ECK3908	pfkA	6-phosphofructokinase I	0.73	1	38.51	2,88	2.88	20.94	5	322	0	0.000	GO:0005737 cytoplasm
P0ABK2	JW0723	ECK0722	cydB	cytochrome d terminal oxidase. subunit II	3.64	1	165.27	2,91	2.91	7.65	3	69	8	0.658	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABK2	JW0723	ECK0722	cydB	cytochrome d terminal oxidase. subunit II	3.64	1	2.22	2,91	2.91	10	4	155	8	0.658	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A8C4	JW5473	ECK2904	ygfB	predicted protein	9	1	398	2,93	2.93	32.81	4	222	0	-0.362	0
P0ADZ4	JW3134	ECK3154	rpsO	30S ribosomal subunit protein S15	18.31	1	791.36	2,94	2.94	69.66	8	357	0	-0.673	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ADZ4	JW3134	ECK3154	rpsO	30S ribosomal subunit protein S15	1.68	1	791.36	2,94	2.94	25.84	3	124	0	-0.673	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A746	JW1767	ECK1776	yeaA	methionine sulfoxide reductase B	12.34	1	540	2,97	2.97	61.31	7	259	0	-0.738	0
P37751	JW2017	ECK2026	wbbK	lipopolysaccharide biosynthesis protein	1.65	1		2,97	2.97	19.89	10	372	0	-0.158	0
P0AA80	JW3096	ECK3115	garP	predicted (D)-galactarate transporter	1.51	1	1.45	2,97	2.97	9.01	5	280	11	0.704	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A800	JW3624	ECK3639	rpoZ	RNA polymerase. omega subunit	25.83	1	1104.73	2,98	2.98	92.31	7	430	0	-0.524	GO:0005737 cytoplasm
P0A800	JW3624	ECK3639	rpoZ	RNA polymerase. omega subunit	0.93	1	1104.73	2,98	2.98	26.37	2	66	0	-0.524	GO:0005737 cytoplasm
P0ABB4	JW3710	ECK3725	atpD	F1 sector of membrane-bound ATP synthase. beta subunit	64.29	1	2674.21	3	3	91.74	32	2120	0	-0.118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P28904	JW4198	ECK4234	treC	trehalose-6-P hydrolase	16.43	1	712.46	3	3	52.81	28	1434	0	-0.001	GO:0005737 cytoplasm
P0ABP8	JW4347	ECK4376	deoD	purine-nucleoside phosphorylase	50	1	2087.68	3	3	89.12	18	1090	0	0.000	0
P0AAG8	JW2136	ECK2142	mglA	fused methyl-galactoside transporter subunitsl -!- ATP-binding components of ABC superfamily	2.69	1	123.27	3	3	46.05	19	970	0	-0.155	GO:0005737 cytoplasm
P25524	JW0328	ECK0334	codA	cytosine deaminase	9	1	398	3	3	42.62	13	668	0	-0.222	GO:0005737 cytoplasm
P27248	JW2873	ECK2900	gcvT	aminomethyltransferase. tetrahydrofolate-dependent. subunit (T protein) of glycine cleavage complex	5.16	1	232	3	3	49.45	13	626	0	-0.159	0
P08201	JW3328	ECK3353	nirB	nitrite reductase. large subunit. NAD(P)H-binding	0.87	1	41.26	3	3	22.08	14	589	0	-0.211	GO:0005737 cytoplasm
P0ACA3	JW3198	ECK3218	sspA	stringent starvation protein A	3.92	1	177.58	3	3	35.38	7	356	0	-0.265	GO:0005737 cytoplasm
P0A6G7	JW0427	ECK0431	clpP	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	18.31	1	791.36	3	3	36.23	6	237	0	-0.154	GO:0005737 cytoplasm
P77293	JW2347	ECK2345	yfdH	"CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase"	0.54	1	25.99	3	3	16.67	3	149	2	0.079	0
P29680	JW3961	ECK3989	hemE	uroporphyrinogen decarboxylase	0.47	1	22.71	3	3	18	3	142	0	-0.156	0
P0ABB4	JW3710	ECK3725	atpD	F1 sector of membrane-bound ATP synthase. beta subunit	18.78	1	2674.21	3	3	84.13	27	1752	0	-0.118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AAG8	JW2136	ECK2142	mglA	fused methyl-galactoside transporter subunitsl -!- ATP-binding components of ABC superfamily	1.88	1	123.27	3	3	36.76	16	855	0	-0.155	GO:0005737 cytoplasm
P28904	JW4198	ECK4234	treC	trehalose-6-P hydrolase	1.81	1	712.46	3	3	17.42	10	642	0	-0.001	GO:0005737 cytoplasm
P0ABP8	JW4347	ECK4376	deoD	purine-nucleoside phosphorylase	4.08	1	2087.68	3	3	48.54	10	383	0	0.000	0
P77293	JW2347	ECK2345	yfdH	"CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase"	2.65	1	1.41	3	3	29.08	9	366	2	0.079	0
P25524	JW0328	ECK0334	codA	cytosine deaminase	0.97	1	398	3	3	17.56	5	210	0	-0.222	GO:0005737 cytoplasm
P0A6G7	JW0427	ECK0431	clpP	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	4.18	1	791.36	3	3	29	5	153	0	-0.154	GO:0005737 cytoplasm
P0ACA3	JW3198	ECK3218	sspA	stringent starvation protein A	0.43	1	177.58	3	3	7.08	2	75	0	-0.265	GO:0005737 cytoplasm
P0A927	JW0401	ECK0405	tsx	nucleoside channel. receptor of phage T6 and colicin K	17.74	1	767.47	3,01	3.01	55.44	10	617	0	-0.512	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A927	JW0401	ECK0405	tsx	nucleoside channel. receptor of phage T6 and colicin K	17.74	1	767.47	3,01	3.01	49.66	11	573	0	-0.512	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P76576	JW2497	ECK2509	yfgM	conserved protein	1.58	1	73.59	3,02	3.02	52.43	7	473	1	-0.222	0
P0A8E1	JW5158	ECK1094	ycfP	conserved protein	7.38	1	327.93	3,02	3.02	68.89	10	344	0	-0.591	0
P76576	JW2497	ECK2509	yfgM	conserved protein	9	1	1.87	3,02	3.02	70.39	13	888	1	-0.222	0
P02930	JW5503	ECK3026	tolC	transport channel	12.04	1	527.07	3,03	3.03	63.08	22	1303	0	-0.427	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P02930	JW5503	ECK3026	tolC	transport channel	69.17	1	527.07	3,03	3.03	69.98	32	2041	0	-0.427	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P07913	JW3591	ECK3606	tdh	threonine 3-dehydrogenase. NAD(P)-binding	9	1	398	3,05	3.05	53.08	11	550	0	0.051	0
P07913	JW3591	ECK3606	tdh	threonine 3-dehydrogenase. NAD(P)-binding	1.74	1	398	3,05	3.05	23.75	5	220	0	0.051	0
P15639	JW3970	ECK3998	purH	fused IMP cyclohydrolase -!- phosphoribosylaminoimidazolecarboxamide formyltransferase	7	1	289.95	3,07	3.07	64.84	26	1655	0	-0.126	GO:0005737 cytoplasm
P21889	JW1855	ECK1867	aspS	aspartyl-tRNA synthetase	9	1	398	3,07	3.07	66.95	34	1538	0	-0.265	GO:0005737 cytoplasm
P0A887	JW5581	ECK3827	ubiE	bifunctional 2-octaprenyl-6-methoxy-1.4-benzoquinone methylase -!- S-adenosylmethionine:2-DMK methyltransferase	10.79	1	473.93	3,07	3.07	52.99	11	639	0	-0.168	0
P0A887	JW5581	ECK3827	ubiE	bifunctional 2-octaprenyl-6-methoxy-1.4-benzoquinone methylase -!- S-adenosylmethionine:2-DMK methyltransferase	6	1	473.93	3,07	3.07	51.39	11	633	0	-0.168	0
P21889	JW1855	ECK1867	aspS	aspartyl-tRNA synthetase	0.57	1	398	3,07	3.07	14	8	371	0	-0.265	GO:0005737 cytoplasm
P0A903	JW2462	ECK2473	nlpB	lipoprotein	4.01	1	181.53	3,08	3.08	54.36	14	730	0	-0.265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P18310	JW4020	ECK4051	ssb	Single-stranded DNA-binding protein	6.74	1	300.32	3,08	3.08	29.78	7	386	0	-0.708	GO:0005737 cytoplasm
P06999	JW5280	ECK1721	pfkB	6-phosphofructokinase II	1.05	1	49.52	3,08	3.08	18.77	5	274	0	0.012	GO:0005737 cytoplasm
P0A903	JW2462	ECK2473	nlpB	lipoprotein	11.59	1	181.53	3,08	3.08	65.41	18	1081	0	-0.265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P18310	JW4020	ECK4051	ssb	Single-stranded DNA-binding protein	1.15	1	300.32	3,08	3.08	14.61	2	179	0	-0.708	GO:0005737 cytoplasm
P0ADB1	JW1728	ECK1737	osmE	DNA-binding transcriptional regulator	16.78	1	727.17	3,11	3.11	38	4	272	1	-0.265	GO:0005737 cytoplasm
P0ADB1	JW1728	ECK1737	osmE	DNA-binding transcriptional regulator	16.78	1	2.86	3,11	3.11	38	4	212	1	-0.265	GO:0005737 cytoplasm
P75949	JW1093	ECK1093	nagZ	beta N-acetyl-glucosaminidase	0.62	1	29.71	3,14	3.14	12.32	4	138	0	-0.293	0
P15028	JW4250	ECK4280	fecB	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- periplasmic-binding component of ABC superfamily"	1.05	1	49.52	3,23	3.23	10	3	87	0	0.026	GO:0042597 periplasmic space
P15028	JW4250	ECK4280	fecB	"KpLE2 phage-like element; iron-dicitrate transporter subunit -!- periplasmic-binding component of ABC superfamily"	1.05	1	49.52	3,23	3.23	27.33	5	326	0	0.026	GO:0042597 periplasmic space
P00350	JW2011	ECK2024	gnd	gluconate-6-phosphate dehydrogenase. decarboxylating	78.43	1	1366.35	3,24	3.24	86.54	39	2198	0	0.000	0
P00350	JW2011	ECK2024	gnd	gluconate-6-phosphate dehydrogenase. decarboxylating	1	1	1366.35	3,24	3.24	30	9	370	0	0.000	0
P0AEN1	JW3820	ECK3836	fre	flavin reductase	2.98	1	136.13	3,27	3.27	49	8	357	0	-0.123	0
P28249	JW2049	ECK2058	asmA	predicted assembly protein	3.33	1	1.66	3,27	3.27	36.79	19	1059	1	-0.422	0
P0AEN1	JW3820	ECK3836	fre	flavin reductase	0.58	1	136.13	3,27	3.27	12.45	3	54	0	-0.123	0
P0AFH2	JW1236	ECK1238	oppB	oligopeptide transporter subunit -!- membrane component of ABC superfamily	2.73	1	125.04	3,28	3.28	13	3	100	6	0.767	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFH2	JW1236	ECK1238	oppB	oligopeptide transporter subunit -!- membrane component of ABC superfamily	4.18	1	2	3,28	3.28	19.61	5	144	6	0.767	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P41409	JW0646	ECK0644	rihA	ribonucleoside hydrolase 1	6.74	1	300.32	3,29	3.29	26.69	6	328	0	0.105	0
P77717	JW0443	ECK0447	ybaY	predicted outer membrane lipoprotein	5.31	1	238.33	3,29	3.29	32.63	3	118	0	0.176	0
P77717	JW0443	ECK0447	ybaY	predicted outer membrane lipoprotein	157.49	1	238.33	3,29	3.29	42.63	7	457	0	0.176	0
P06993	JW3381	ECK3405	malT	DNA-binding transcriptional activator. maltotriose-ATP-binding	0.33	1	16.12	3,32	3.32	11.21	6	300	0	-0.273	GO:0005737 cytoplasm
P06993	JW3381	ECK3405	malT	DNA-binding transcriptional activator. maltotriose-ATP-binding	0.23	1	16.12	3,32	3.32	6	5	198	0	-0.273	GO:0005737 cytoplasm
P69924	JW2229	ECK2227	nrdB	ribonucleoside diphosphate reductase 1. beta subunit. ferritin-like	4.48	1	202.12	3,33	3.33	52	15	636	0	-0.275	0
P0AB98	JW3716	ECK3731	atpB	F0 sector of membrane-bound ATP synthase. subunit a	9	1	398	3,33	3.33	22.88	5	192	5	0.807	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P69924	JW2229	ECK2227	nrdB	ribonucleoside diphosphate reductase 1. beta subunit. ferritin-like	1.02	1	202.12	3,33	3.33	20.74	7	376	0	-0.275	0
P0AB98	JW3716	ECK3731	atpB	F0 sector of membrane-bound ATP synthase. subunit a	5.31	1	3	3,33	3.33	11.07	2	106	5	0.807	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9H7	JW1653	ECK1657	cfa	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)	0.86	1	41	3,37	3.37	18.32	6	313	0	-0.313	0
P0A9H7	JW1653	ECK1657	cfa	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)	0.56	1	41	3,37	3.37	13.61	5	271	0	-0.313	0
P30745	JW0764	ECK0770	moaA	molybdopterin biosynthesis protein A	0.21	1		3,37	3.37	8.21	2	127	0	-0.354	0
P0A6Q3	JW0937	ECK0945	fabA	beta-hydroxydecanoyl thioester dehydrase	15.68	1	680.91	3,38	3.38	55.81	10	462	0	-0.012	0
P0A6Q3	JW0937	ECK0945	fabA	beta-hydroxydecanoyl thioester dehydrase	4.99	1	680.91	3,38	3.38	43.02	7	224	0	-0.012	0
P0ADN2	JW3737	ECK3757	yifE	conserved protein	73.99	1	3064.53	3,39	3.39	83.93	13	657	0	-1.069	0
P0A7Z0	JW5475	ECK2910	rpiA	ribosephosphate isomerase. constitutive	14.85	1	645.93	3,39	3.39	54.34	11	560	0	0.000	0
P0A7Z0	JW5475	ECK2910	rpiA	ribosephosphate isomerase. constitutive	1	1	645.93	3,39	3.39	18.72	3	107	0	0.000	0
P68187	JW3995	ECK4027	malK	fused maltose transport subunit. ATP-binding component of ABC superfamily -!- regulatory protein	3.33	1	152	3,41	3.41	35	12	504	0	0.000	GO:0005737 cytoplasm
P68187	JW3995	ECK4027	malK	fused maltose transport subunit. ATP-binding component of ABC superfamily -!- regulatory protein	3.81	1	152	3,41	3.41	44	13	704	0	0.000	GO:0005737 cytoplasm
P0A9K9	JW3311	ECK3336	slyD	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)	16.78	1	727.17	3,43	3.43	35.71	4	304	0	-0.383	0
P21165	JW3823	ECK3839	pepQ	proline dipeptidase	5.19	1	233.11	3,47	3.47	56.88	17	871	0	-0.241	0
P21165	JW3823	ECK3839	pepQ	proline dipeptidase	0.47	1	233.11	3,47	3.47	10.84	4	171	0	-0.241	0
P0A9A6	JW0093	ECK0096	ftsZ	GTP-binding tubulin-like cell division protein	17.23	1	746.07	3,49	3.49	74.15	20	1053	0	-0.005	GO:0005737 cytoplasm
P0A9A6	JW0093	ECK0096	ftsZ	GTP-binding tubulin-like cell division protein	8.05	1	746.07	3,49	3.49	63.97	22	1312	0	-0.005	GO:0005737 cytoplasm
P0AB89	JW1117	ECK1117	purB	adenylosuccinate lyase	14.32	1	623.57	3,51	3.51	61.84	26	1187	0	-0.243	GO:0005737 cytoplasm
P0AB89	JW1117	ECK1117	purB	adenylosuccinate lyase	5	1	623.57	3,51	3.51	41.89	19	669	0	-0.243	GO:0005737 cytoplasm
P0ACJ8	JW5702	ECK3345	crp	DNA-binding transcriptional dual regulator	16.78	1	727.17	3,52	3.52	69.05	15	625	0	-0.225	GO:0005737 cytoplasm
P0A8R0	JW3900	ECK3921	rraA	ribonuclease E (RNase E) inhibitor protein	18.31	1	791.36	3,52	3.52	59.01	7	360	0	0.054	0
P0ACJ8	JW5702	ECK3345	crp	DNA-binding transcriptional dual regulator	7	1	727.17	3,52	3.52	52	13	568	0	-0.225	GO:0005737 cytoplasm
P0A799	JW2893	ECK2922	pgk	phosphoglycerate kinase	64.79	1	1285.46	3,56	3.56	82.95	28	1738	0	0.072	GO:0005737 cytoplasm
P0A799	JW2893	ECK2922	pgk	phosphoglycerate kinase	0.69	1	1285.46	3,56	3.56	16.28	4	270	0	0.072	GO:0005737 cytoplasm
P0A8M0	JW0913	ECK0921	asnS	asparaginyl tRNA synthetase	8.26	1	365.77	3,57	3.57	56.65	25	1509	0	-0.257	GO:0005737 cytoplasm
P0A8M0	JW0913	ECK0921	asnS	asparaginyl tRNA synthetase	1.71	1	365.77	3,57	3.57	28.54	13	589	0	-0.257	GO:0005737 cytoplasm
P0AGJ9	JW1629	ECK1633	tyrS	tyrosyl-tRNA synthetase	11.74	1	514.33	3,62	3.62	56.37	18	1000	0	-0.334	GO:0005737 cytoplasm
P0AGJ9	JW1629	ECK1633	tyrS	tyrosyl-tRNA synthetase	0.27	1	514.33	3,62	3.62	6.13	2	175	0	-0.334	GO:0005737 cytoplasm
P0AEX9	JW3994	ECK4026	malE	maltose transporter subunit -!- periplasmic-binding component of ABC superfamily	12.18	1	533.01	3,63	3.63	73.74	24	1031	0	-0.251	GO:0042597 periplasmic space
P00960	JW3531	ECK3548	glyQ	glycine tRNA synthetase. alpha subunit	27.94	1	1192.11	3,63	3.63	61.72	14	621	0	-0.392	GO:0005737 cytoplasm
P75818	JW0849	ECK0856	ybjP	predicted lipoprotein	1.85	1	85.75	3,63	3.63	36.84	4	294	0	-0.459	0
P75818	JW0849	ECK0856	ybjP	predicted lipoprotein	5.58	1	85.75	3,63	3.63	72.51	9	473	0	-0.459	0
P00960	JW3531	ECK3548	glyQ	glycine tRNA synthetase. alpha subunit	7.38	1	1192.11	3,63	3.63	40.92	11	390	0	-0.392	GO:0005737 cytoplasm
P0A847	JW0396	ECK0400	tgt	tRNA-guanine transglycosylase	3.64	1	165.27	3,66	3.66	38.13	11	673	0	-0.412	GO:0005737 cytoplasm
P68679	JW3037	ECK3055	rpsU	30S ribosomal subunit protein S21	2153.43	1	80476.72	3,66	3.66	43.66	6	197	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P68679	JW3037	ECK3055	rpsU	30S ribosomal subunit protein S21	3.64	1	80476.72	3,66	3.66	25.35	2	78	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A847	JW0396	ECK0400	tgt	tRNA-guanine transglycosylase	0.21	1	165.27	3,66	3.66	5.87	2	30	0	-0.412	GO:0005737 cytoplasm
P0A6E6	JW3709	ECK3724	atpC	F1 sector of membrane-bound ATP synthase. epsilon subunit	9	1	398	3,67	3.67	58.99	5	271	0	-0.095	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A6E6	JW3709	ECK3724	atpC	F1 sector of membrane-bound ATP synthase. epsilon subunit	1.68	1	398	3,67	3.67	38.13	3	93	0	-0.095	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AEP3	JW1224	ECK1231	galU	glucose-1-phosphate uridylyltransferase	12.59	1	550	3,68	3.68	66.89	15	792	0	0.031	GO:0030113 capsule (sensu Bacteria)
P68699	JW3715	ECK3730	atpE	F0 sector of membrane-bound ATP synthase. subunit c	9	1	398	3,68	3.68	20.25	2	60	2	1.267	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AEP3	JW1224	ECK1231	galU	glucose-1-phosphate uridylyltransferase	1.15	1	550	3,68	3.68	23.84	4	188	0	0.031	GO:0030113 capsule (sensu Bacteria)
P68699	JW3715	ECK3730	atpE	F0 sector of membrane-bound ATP synthase. subunit c	9	1	3	3,68	3.68	20.25	2	67	2	1.267	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABJ9	JW0722	ECK0721	cydA	cytochrome d terminal oxidase. subunit I	3.64	1	165.27	3,72	3.72	21.07	10	505	9	0.397	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABJ9	JW0722	ECK0721	cydA	cytochrome d terminal oxidase. subunit I	38.81	1	2.22	3,72	3.72	28.35	19	1048	9	0.397	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76027	JW1238	ECK1240	oppD	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	1.82	1	84	3,76	3.76	34.42	9	342	0	-0.009	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P76027	JW1238	ECK1240	oppD	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	4.62	1	84	3,76	3.76	47.48	13	676	0	-0.009	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7E9	JW0166	ECK0170	pyrH	uridylate kinase	7.58	1	336.54	3,77	3.77	64.32	11	560	0	0.133	GO:0005737 cytoplasm
