Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6EKY6_ECOBD Potassium efflux system protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybaL PE=4 SV=1	C6EKY6_ECOBD	59,407.9	100.0%	13	19	34	1.25%	27.4%
C6EKY9_ECOBD Ferrochelatase OS=Escherichia coli (strain B / BL21-DE3) GN=hemH PE=3 SV=1	C6EKY9_ECOBD	35,853.1	100.0%	2	2	2	0.0939%	11.9%
C6EKZ0_ECOBD Adenylate kinase OS=Escherichia coli (strain B / BL21-DE3) GN=adk PE=3 SV=1	C6EKZ0_ECOBD	23,568.4	76.8%	1	1	1	0.0674%	5.14%
C6EKZ1_ECOBD Chaperone protein htpG OS=Escherichia coli (strain B / BL21-DE3) GN=htpG PE=3 SV=1	C6EKZ1_ECOBD	71,407.0	100.0%	3	3	3	0.184%	6.73%
C6EKZ9_ECOBD Fused conserved protein OS=Escherichia coli (strain B / BL21-DE3) GN=kefA PE=4 SV=1	C6EKZ9_ECOBD	127,201.6	100.0%	22	23	26	0.891%	24.7%
C6EL01_ECOBD Efflux transporter, RND family, MFP subunit OS=Escherichia coli (strain B / BL21-DE3) GN=acrA PE=4 SV=1	C6EL01_ECOBD	42,178.5	100.0%	33	45	54	2.15%	79.3%
C6EL02_ECOBD Multidrug efflux system protein OS=Escherichia coli (strain B / BL21-DE3) GN=acrB PE=4 SV=1	C6EL02_ECOBD	113,558.1	100.0%	36	40	56	1.92%	35.7%
C6EL06_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ylaC PE=4 SV=1	C6EL06_ECOBD	18,249.9	100.0%	2	2	2	0.131%	17.3%
C6EL07_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ylaB PE=4 SV=1	C6EL07_ECOBD	58,798.1	99.8%	1	1	1	0.0327%	1.74%
C6EL10_ECOBD Glycoprotein/polysaccharide metabolism OS=Escherichia coli (strain B / BL21-DE3) GN=ybaY PE=4 SV=1	C6EL10_ECOBD	19,422.7	100.0%	5	5	5	0.303%	27.9%
C6EL14_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=mdlB PE=4 SV=1	C6EL14_ECOBD	65,237.3	100.0%	11	12	18	0.588%	33.7%
C6EL15_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=mdlA PE=4 SV=1	C6EL15_ECOBD	65,998.7	100.0%	6	6	7	0.247%	20.0%
C6EL22_ECOBD Peptidyl-prolyl cis-trans isomerase (Rotamase D) OS=Escherichia coli (strain B / BL21-DE3) GN=ppiD PE=4 SV=1	C6EL22_ECOBD	68,119.3	100.0%	79	102	156	5.51%	79.3%
C6EL27_ECOBD ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain B / BL21-DE3) GN=clpX PE=3 SV=1	C6EL27_ECOBD	46,339.3	53.8%	1	1	1	0.0629%	3.07%
C6EL29_ECOBD Trigger factor OS=Escherichia coli (strain B / BL21-DE3) GN=tig PE=3 SV=1	C6EL29_ECOBD	48,174.8	100.0%	7	7	8	0.261%	24.3%
C6EL32_ECOBD Predicted lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=yajG PE=4 SV=1	C6EL32_ECOBD	20,946.5	100.0%	12	15	24	0.923%	55.7%
C6EL33_ECOBD AmpG-related permease OS=Escherichia coli (strain B / BL21-DE3) GN=ampG PE=4 SV=1	C6EL33_ECOBD	53,258.0	97.9%	1	1	1	0.0397%	2.44%
C6EL34_ECOBD Cytochrome o ubiquinol oxidase subunit II OS=Escherichia coli (strain B / BL21-DE3) GN=cyoA PE=4 SV=1	C6EL34_ECOBD	34,938.3	100.0%	10	12	39	1.92%	39.4%
C6EL35_ECOBD Cytochrome o ubiquinol oxidase subunit I OS=Escherichia coli (strain B / BL21-DE3) GN=cyoB PE=3 SV=1	C6EL35_ECOBD	74,352.1	100.0%	10	10	20	0.654%	15.1%
C6EL36_ECOBD Cytochrome o ubiquinol oxidase subunit III OS=Escherichia coli (strain B / BL21-DE3) GN=cyoC PE=3 SV=1	C6EL36_ECOBD	22,605.2	81.5%	1	1	1	0.0369%	3.43%
C6EL42_ECOBD Major facilitator superfamily MFS_1 OS=Escherichia coli (strain B / BL21-DE3) GN=yajR PE=4 SV=1	C6EL42_ECOBD	48,755.2	100.0%	2	2	2	0.103%	3.52%
C6EL52_ECOBD Sulfate ABC transporter, periplasmic sulfate-binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=cysP PE=4 SV=1	C6EL52_ECOBD	37,610.4	99.7%	1	1	1	0.0748%	3.25%
C6EL53_ECOBD Sulfate ABC transporter, inner membrane subunit OS=Escherichia coli (strain B / BL21-DE3) GN=cysU PE=3 SV=1	C6EL53_ECOBD	30,291.7	61.0%	1	1	1	0.0351%	7.22%
C6EL54_ECOBD Sulfate ABC transporter, inner membrane subunit OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1258 PE=3 SV=1	C6EL54_ECOBD	32,508.3	74.6%	1	1	1	0.0666%	2.75%
C6EL55_ECOBD Sulfate ABC transporter, ATPase subunit OS=Escherichia coli (strain B / BL21-DE3) GN=cysA PE=4 SV=1	C6EL55_ECOBD	41,053.0	50.0%	1	1	1	0.0498%	4.66%
C6EL60_ECOBD Glucose-specific PTS system enzyme IIA component OS=Escherichia coli (strain B / BL21-DE3) GN=crr PE=4 SV=1	C6EL60_ECOBD	18,233.5	100.0%	2	2	2	0.0887%	16.6%
C6EL61_ECOBD PEP-protein phosphotransferase of PTS system (Enzyme I) OS=Escherichia coli (strain B / BL21-DE3) GN=ptsI PE=3 SV=1	C6EL61_ECOBD	63,518.3	100.0%	2	2	2	0.123%	5.04%
C6EL63_ECOBD Cysteine synthase OS=Escherichia coli (strain B / BL21-DE3) GN=cysK PE=3 SV=1	C6EL63_ECOBD	34,472.9	100.0%	4	4	4	0.206%	23.2%
C6EL65_ECOBD Protein CysZ OS=Escherichia coli (strain B / BL21-DE3) GN=cysZ PE=3 SV=1	C6EL65_ECOBD	29,288.4	100.0%	3	3	3	0.182%	11.5%
C6EL66_ECOBD Cell division protein zipA OS=Escherichia coli (strain B / BL21-DE3) GN=zipA PE=3 SV=1	C6EL66_ECOBD	36,475.6	100.0%	10	13	25	0.920%	44.8%
C6EL69_ECOBD Bile acid:sodium symporter OS=Escherichia coli (strain B / BL21-DE3) GN=yfeH PE=4 SV=1	C6EL69_ECOBD	36,388.4	99.8%	2	3	3	0.105%	5.12%
C6EL72_ECOBD Glutamyl-tRNA synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=gltX PE=3 SV=1	C6EL72_ECOBD	53,798.3	56.2%	1	1	1	0.0669%	2.55%
C6EL75_ECOBD Diguanylate cyclase/phosphodiesterase OS=Escherichia coli (strain B / BL21-DE3) GN=yfeA PE=4 SV=1	C6EL75_ECOBD	83,526.5	100.0%	6	6	6	0.212%	12.3%
C6EL76_ECOBD Nucleoside (Except guanosine) transporter OS=Escherichia coli (strain B / BL21-DE3) GN=nupC PE=4 SV=1	C6EL76_ECOBD	43,459.7	100.0%	5	6	10	0.515%	14.0%
C6EL88_ECOBD Predicted sensory kinase in two-component system with YpdB OS=Escherichia coli (strain B / BL21-DE3) GN=ypdA PE=4 SV=1	C6EL88_ECOBD	62,641.7	100.0%	3	3	3	0.111%	4.96%
C6ELA7_ECOBD Predicted lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=vacJ PE=4 SV=1	C6ELA7_ECOBD	27,990.3	100.0%	3	3	4	0.150%	8.37%
C6ELB0_ECOBD Membrane protein involved in aromatic hydrocarbon degradation OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_1316 PE=4 SV=1	C6ELB0_ECOBD	48,525.1	99.8%	2	2	2	0.0985%	7.17%
C6ELB2_ECOBD 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain B / BL21-DE3) GN=yfcY PE=3 SV=1	C6ELB2_ECOBD	46,513.1	99.5%	2	2	2	0.0685%	8.26%
C6ELB3_ECOBD Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain B / BL21-DE3) GN=yfcX PE=3 SV=1	C6ELB3_ECOBD	77,035.9	100.0%	4	4	4	0.148%	6.16%
C6ELD0_ECOBD 3-oxoacyl-(Acyl carrier protein) synthase OS=Escherichia coli (strain B / BL21-DE3) GN=fabB PE=3 SV=1	C6ELD0_ECOBD	42,595.4	99.8%	2	2	2	0.0795%	9.85%
C6ELD1_ECOBD Major facilitator superfamily MFS_1 OS=Escherichia coli (strain B / BL21-DE3) GN=yfcJ PE=3 SV=1	C6ELD1_ECOBD	40,462.3	100.0%	3	3	3	0.105%	4.59%
C6ELD2_ECOBD Flagella assembly protein OS=Escherichia coli (strain B / BL21-DE3) GN=flk PE=4 SV=1	C6ELD2_ECOBD	36,651.5	100.0%	4	4	4	0.197%	19.0%
C6ELD6_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=dedA PE=4 SV=1	C6ELD6_ECOBD	24,493.4	50.0%	1	1	2	0.0619%	5.94%
C6ELD7_ECOBD Acetyl-CoA carboxylase subunit beta OS=Escherichia coli (strain B / BL21-DE3) GN=accD PE=3 SV=1	C6ELD7_ECOBD	33,304.5	100.0%	5	5	6	0.309%	17.8%
C6ELD9_ECOBD Putative uncharacterized protein dedD OS=Escherichia coli (strain B / BL21-DE3) GN=dedD PE=4 SV=1	C6ELD9_ECOBD	22,920.6	100.0%	6	6	9	0.463%	40.9%
C6ELE3_ECOBD Cationic amino acid ABC transporter, periplasmic binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=argT PE=3 SV=1	C6ELE3_ECOBD	27,975.1	61.0%	1	1	1	0.0351%	5.00%
C6ELE4_ECOBD Cationic amino acid ABC transporter, periplasmic binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=hisJ PE=3 SV=1	C6ELE4_ECOBD	28,466.6	100.0%	11	11	11	0.542%	62.7%
C6ELE5_ECOBD Histidine/lysine/arginine/ornithine transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=hisQ PE=3 SV=1	C6ELE5_ECOBD	24,632.3	51.8%	1	1	1	0.0444%	6.58%
C6ELE7_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=hisP PE=4 SV=1	C6ELE7_ECOBD	28,634.9	100.0%	11	15	18	0.631%	54.9%
C6ELE9_ECOBD Conserved protein with NAD(P)-binding Rossmann-fold domain OS=Escherichia coli (strain B / BL21-DE3) GN=yfcH PE=4 SV=1	C6ELE9_ECOBD	32,681.1	100.0%	3	3	4	0.197%	13.1%
C6ELH3_ECOBD Nucleoside channel, receptor of phage T6 and colicin K OS=Escherichia coli (strain B / BL21-DE3) GN=tsx PE=4 SV=1	C6ELH3_ECOBD	33,572.2	100.0%	4	4	5	0.175%	15.6%
C6ELH5_ECOBD Protein export protein SecF OS=Escherichia coli (strain B / BL21-DE3) GN=secF PE=4 SV=1	C6ELH5_ECOBD	35,365.5	100.0%	10	15	29	1.02%	32.2%
C6ELH6_ECOBD Protein-export membrane protein SecD OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3253 PE=4 SV=1	C6ELH6_ECOBD	65,151.6	100.0%	61	78	105	3.43%	68.7%
C6ELH7_ECOBD Preprotein translocase subunit YajC OS=Escherichia coli (strain B / BL21-DE3) GN=yajC PE=4 SV=1	C6ELH7_ECOBD	11,869.6	100.0%	11	14	28	1.58%	54.5%
C6ELI2_ECOBD Amino acid permease-associated region OS=Escherichia coli (strain B / BL21-DE3) GN=proY PE=4 SV=1	C6ELI2_ECOBD	50,199.7	50.0%	1	1	2	0.103%	2.84%
C6ELI3_ECOBD Branched-chain amino acid transport system II carrier protein OS=Escherichia coli (strain B / BL21-DE3) GN=brnQ PE=4 SV=1	C6ELI3_ECOBD	46,191.8	99.7%	2	2	2	0.0985%	4.56%
C6ELK4_ECOBD Alkaline phosphatase OS=Escherichia coli (strain B / BL21-DE3) GN=phoA PE=3 SV=1	C6ELK4_ECOBD	49,404.3	100.0%	13	13	17	0.639%	38.4%
C6ELK9_ECOBD Predicted DNA-binding transcriptional regulator OS=Escherichia coli (strain B / BL21-DE3) GN=yaiW PE=4 SV=1	C6ELK9_ECOBD	40,298.4	100.0%	2	2	2	0.103%	5.22%
C6ELL0_ECOBD Predicted transporter OS=Escherichia coli (strain B / BL21-DE3) GN=sbmA PE=4 SV=1	C6ELL0_ECOBD	46,446.6	99.9%	2	2	2	0.0939%	4.43%
C6ELM4_ECOBD Alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=frmA PE=3 SV=1	C6ELM4_ECOBD	39,298.0	98.8%	1	1	1	0.0752%	2.98%
C6ELN4_ECOBD Transcriptional regulator, IclR family OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_3311 PE=4 SV=1	C6ELN4_ECOBD	31,750.4	67.7%	1	1	1	0.0748%	5.69%
C6ELP4_ECOBD Cytosine transporter OS=Escherichia coli (strain B / BL21-DE3) GN=codB PE=4 SV=1	C6ELP4_ECOBD	43,633.0	67.7%	1	1	1	0.0748%	3.34%
C6ELR0_ECOBD FdrA family protein OS=Escherichia coli (strain B / BL21-DE3) GN=yahF PE=4 SV=1	C6ELR0_ECOBD	55,477.0	53.8%	1	1	1	0.0629%	1.17%
C6ELR7_ECOBD Choline transporter of high affinity OS=Escherichia coli (strain B / BL21-DE3) GN=betT PE=4 SV=1	C6ELR7_ECOBD	75,827.4	100.0%	7	7	9	0.318%	9.01%
C6ELS0_ECOBD Choline dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=betA PE=3 SV=1	C6ELS0_ECOBD	61,828.3	100.0%	3	3	4	0.174%	8.99%
