Accession	Biological Process (Uniprot)
B1X743	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P0AG00	lipopolysaccharide biosynthetic process
P18777	oxidation-reduction process
B1X6J0	translational elongation|translation
B1XBC5	cellular amino acid biosynthetic process|arginine biosynthetic process
P0A830	carbohydrate transport|transport
B1XDV7	protein folding
P0AAF3	carbohydrate transport|transport
B1XD53	DNA replication
P21645	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process
P0ACN7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
A5PFJ8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQ71	oxidation-reduction process|pyrimidine nucleotide biosynthetic process
B1X9X4	transport|potassium ion transport|ion transport
P05793	oxidation-reduction process|cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
C4ZU07	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XGT7	phosphorylation
B1XF01	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZVS0	phosphorylation
B1X705	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X9W2	transport|proton transport|ion transport|ATP biosynthetic process
C4ZZR6	oxidation-reduction process
C4ZVW0	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1XFB4	purine nucleotide metabolic process|nucleotide metabolic process
P32152	transcription, DNA-dependent|regulation of transcription, DNA-dependent|phosphorylation
P08202	arabinose catabolic process|carbohydrate metabolic process
P32131	oxidation-reduction process|porphyrin biosynthetic process
P0A7H0	DNA repair|SOS response|DNA replication|response to DNA damage stimulus
P0A744	oxidation-reduction process
P0AE16	transport
B1X942	oxidation-reduction process|phospholipid biosynthetic process
P0ABJ1	oxidation-reduction process|transport|electron transport chain
C4ZVU3	barrier septum formation|cell cycle|cell division
C4ZTE5	oxidation-reduction process|cellular amino acid biosynthetic process|proline biosynthetic process
P39352	transport
P52636	transport|electron transport chain
B1XE65	oxidation-reduction process
C4ZY24	translation
C4ZUX0	purine nucleotide biosynthetic process
P77626	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZXU9	biotin biosynthetic process
C4ZS91	cell cycle|cell division
B1X876	transport
P0ABC0	transport|proton transport|ion transport
P0ADI0	DNA integration|DNA recombination
C4ZQ66	transport
P0AA99	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XC15	glyoxylate cycle|tricarboxylic acid cycle|phosphorylation
C5A0P1	glyoxylate cycle|tricarboxylic acid cycle
P07604	transcription, DNA-dependent|regulation of transcription, DNA-dependent|aromatic compound catabolic process|two-component signal transduction system (phosphorelay)
P0ACF0	chromosome condensation
B1XBE4	transport|sodium ion transport|ion transport
P77260	oxidation-reduction process
Q46857	oxidation-reduction process|L-ascorbic acid biosynthetic process
P0CF66	transposition|DNA recombination
P60651	spermidine biosynthetic process|polyamine biosynthetic process|putrescine biosynthetic process
B1XEU9	oxidation-reduction process
P43533	flagellum organization
P11071	glyoxylate cycle|tricarboxylic acid cycle|phosphorylation
P36561	cobalamin biosynthetic process
C4ZTH0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P13669	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AEJ4	two-component signal transduction system (phosphorelay)|phosphorylation
P60560	oxidation-reduction process
P68739	DNA repair|response to DNA damage stimulus
C4ZUA1	transport|lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process|transmembrane transport
B1XEA1	transport
B1XAN8	metabolic process
B1X900	oxidation-reduction process|transport
B1XCW2	transport
C4ZXE0	oxidation-reduction process
Q46839	transport
P17888	DNA replication, synthesis of RNA primer|DNA replication
B1X850	phosphorylation
C4ZQ38	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation
B1XC65	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P67701	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X893	cytochrome complex assembly
P24251	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XG21	translation
P0A879	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P33594	transport|nickel ion transport
P0ABK5	cellular amino acid biosynthetic process|cysteine biosynthetic process|metabolic process
P0ABG1	phospholipid biosynthetic process
P0A6F9	cell cycle|cell division
B1X794	transport
P37339	oxidation-reduction process
B1XBD3	pentose-phosphate shunt
C5A125	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process|metabolic process
C4ZU48	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
C4ZTH2	riboflavin biosynthetic process
P75742	transport|protein transport|peptide transport
P0AC51	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P16528	glyoxylate cycle|regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X601	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P75901	transport|ion transport|iron ion homeostasis
P77170	DNA integration|DNA recombination
P0AFD1	oxidation-reduction process
B1X9H5	pyrimidine nucleotide biosynthetic process
B1XEK6	amino acid transport|transport
P15977	carbohydrate metabolic process
B1X982	transcription, DNA-dependent
P0AFJ5	transport|phosphate transport|regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P0A7E9	pyrimidine nucleotide biosynthetic process|metabolic process|phosphorylation
P36999	methylation|rRNA processing
P0CF87	oxidation-reduction process|response to arsenic-containing substance
C4ZYM6	ribosome biogenesis
P27375	response to stress
P0ABQ0	metabolic process
B1X9T8	transport
C4ZV82	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XC32	transport
P24224	lipid biosynthetic process|fatty acid biosynthetic process
C4ZW67	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQZ1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XB12	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76639	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XEY2	DNA recombination
P0AFY6	transport
P28905	DNA replication
P0A9S7	amino acid transport|transport
C4ZS59	carbohydrate metabolic process|phosphorylation
P71301	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZVY6	phosphorylation
C4ZUQ9	two-component signal transduction system (phosphorelay)|phosphorylation
B1XBP4	transport
B1X672	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P09373	glucose metabolic process|carbohydrate metabolic process
C5A062	oxidation-reduction process
P38684	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C4ZY47	transport
C4ZXK5	cell division
B1X9A4	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
B1X8Z3	photosynthesis, light reaction|oxidation-reduction process
P0AEK0	DNA repair|response to DNA damage stimulus
C4ZZC0	phosphorylation
B1XAK8	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process
P36767	DNA recombination
P71242	lipopolysaccharide biosynthetic process
P0ACS7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XDS3	response to stress
C4ZY28	transport
P23876	transport|ion transport|iron ion homeostasis
P0A6A6	cellular amino acid biosynthetic process|leucine biosynthetic process|branched chain family amino acid biosynthetic process
P0AAD6	transport
P0A809	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus
C4ZS31	lipid biosynthetic process|fatty acid biosynthetic process|metabolic process
B1XAV9	oxidation-reduction process
P0A7Y8	tRNA processing
C4ZRG7	transport
C4ZVG9	methylation
C4ZUJ1	cellular iron ion homeostasis
B1X7L9	transport
B1X763	carbohydrate metabolic process
B1X8B4	phosphorylation
P0AA73	transport
C4ZR30	amino acid transport|transport
B1XDE1	methylation
B1X8F9	transport
C5A080	two-component signal transduction system (phosphorelay)
C4ZVH8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P37309	transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to arsenic-containing substance
C4ZT40	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XEJ0	oxidation-reduction process
B1XCL9	transport
P0AFR7	transport
P46859	phosphorylation
B1X6K5	phosphorylation
P0ABT5	oxidation-reduction process|tRNA processing
C4ZUD1	photosynthesis, light reaction|oxidation-reduction process
P00393	oxidation-reduction process|transport|electron transport chain
B1X7J1	phosphorylation
B1XB40	ribosome biogenesis
P14375	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C4ZTV6	tryptophan biosynthetic process|glutamine metabolic process
P16694	phosphonate transport
C4ZV60	carbohydrate transport|transport
C4ZQV8	transport|zinc ion transport|ion transport
P24077	transport
B1XBS2	oxidation-reduction process|cellular amino acid biosynthetic process|tyrosine biosynthetic process|aromatic amino acid family biosynthetic process
C4ZZP8	metabolic process
C4ZRU2	amino acid transport|transport
B1X7T6	transport
P0AE70	quorum sensing|negative regulation of cell growth|regulation of transcription, DNA-dependent|transcription, DNA-dependent|regulation of mRNA stability|response to stress
C4ZQX4	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
C4ZPV1	phosphorylation
P0A9I3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZT75	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A8A4	phosphorylation
B1XBR5	response to stress
P36929	methylation|rRNA processing
B1XC41	phosphorylation
C4ZRI9	cell division
C4ZYX8	DNA replication
C4ZS69	two-component signal transduction system (phosphorelay)|phosphorylation
B1X7Q8	carbohydrate transport|transport
B1XF93	transport|electron transport chain
P0AAJ3	transport|electron transport chain
P39343	D-gluconate metabolic process|transcription, DNA-dependent|regulation of transcription, DNA-dependent
C5A1F4	phospholipid biosynthetic process
C4ZZ87	cell cycle|cell division
C4ZY65	oxidation-reduction process
C5A0W9	transport
B1XEB2	oxidation-reduction process
C4ZYC2	purine nucleotide biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46817	transport
P77737	transport|protein transport|peptide transport
B1XCE1	carbohydrate transport|transport
P69490	cytochrome complex assembly
C4ZQK4	flagellum organization|transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1X6N9	protein-chromophore linkage
B1XEP8	oxidation-reduction process
P0CE59	transposition|DNA recombination
B1X9V9	transport|proton transport|ion transport|ATP biosynthetic process
P21420	transport|ion transport
C4ZT85	methylation
C4ZZV8	phosphorylation
C4ZXS6	glycolysis
C4ZSJ3	transport
P0AAR3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZRI7	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XEI8	metabolic process
P0ABR9	oxidation-reduction process|aromatic compound catabolic process
B1XG30	two-component signal transduction system (phosphorelay)
P69795	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P0ACQ4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XCE8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P62556	plasmid partitioning
P05707	oxidation-reduction process
C4ZVT4	translation
Q46791	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XB29	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZW10	transcription, DNA-dependent|regulation of transcription, DNA-dependent
Q47147	glutamine metabolic process
P09980	DNA replication
P33927	cytochrome complex assembly
P27833	lipopolysaccharide biosynthetic process
C4ZX51	purine nucleotide biosynthetic process
C5A0C3	cellular amino acid biosynthetic process|arginine biosynthetic process
C4ZPZ4	cellular amino acid biosynthetic process|leucine biosynthetic process|branched chain family amino acid biosynthetic process
P76445	transport
C4ZXV3	Mo-molybdopterin cofactor biosynthetic process
