A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P64483	YEAK_ECOLI Uncharacterized protein yeaK OS=Escherichia coli (strain K12) GN=yeaK PE=4 SV=1
P64499	YEBO_ECOLI Uncharacterized protein yebO OS=Escherichia coli (strain K12) GN=yebO PE=4 SV=1
P64554	YGCF_ECOLI Uncharacterized protein ygcF OS=Escherichia coli (strain K12) GN=ygcF PE=1 SV=1
P64574	YGHW_ECOLI Uncharacterized protein yghW OS=Escherichia coli (strain K12) GN=yghW PE=4 SV=1
P64581	YQJD_ECOLI Uncharacterized protein yqjD OS=Escherichia coli (strain K12) GN=yqjD PE=4 SV=1
P64596	YRAP_ECOLI Uncharacterized protein yraP OS=Escherichia coli (strain K12) GN=yraP PE=4 SV=1
P64602	YRBB_ECOLI Uncharacterized protein yrbB OS=Escherichia coli (strain K12) GN=yrbB PE=4 SV=1
P64604	YRBD_ECOLI Uncharacterized protein yrbD OS=Escherichia coli (strain K12) GN=yrbD PE=4 SV=1
P64606	YRBE_ECOLI UPF0393 inner membrane protein yrbE OS=Escherichia coli (strain K12) GN=yrbE PE=1 SV=1
P64612	YHCM_ECOLI Uncharacterized protein yhcM OS=Escherichia coli (strain K12) GN=yhcM PE=1 SV=1
P64624	YHEO_ECOLI Uncharacterized protein yheO OS=Escherichia coli (strain K12) GN=yheO PE=4 SV=1
P64636	YRFG_ECOLI Uncharacterized protein yrfG OS=Escherichia coli (strain K12) GN=yrfG PE=4 SV=1
P65556	YFCD_ECOLI Uncharacterized Nudix hydrolase yfcD OS=Escherichia coli (strain K12) GN=yfcD PE=1 SV=1
P66817	DIAA_ECOLI DnaA initiator-associating protein diaA OS=Escherichia coli (strain K12) GN=diaA PE=1 SV=1
P66948	YFGC_ECOLI TPR repeat-containing protein yfgC OS=Escherichia coli (strain K12) GN=yfgC PE=4 SV=1
P67080	YGGS_ECOLI UPF0001 protein yggS OS=Escherichia coli (strain K12) GN=yggS PE=1 SV=1
P67087	YRAL_ECOLI UPF0011 protein yraL OS=Escherichia coli (strain K12) GN=yraL PE=1 SV=1
P67244	YQHA_ECOLI UPF0114 protein yqhA OS=Escherichia coli (strain K12) GN=yqhA PE=3 SV=1
P67553	YNFC_ECOLI UPF0257 lipoprotein ynfC OS=Escherichia coli (strain K12) GN=ynfC PE=3 SV=1
P67660	YHAJ_ECOLI Uncharacterized HTH-type transcriptional regulator yhaJ OS=Escherichia coli (strain K12) GN=yhaJ PE=4 SV=1
P67660	YHAJ_ECOLI Uncharacterized HTH-type transcriptional regulator yhaJ OS=Escherichia coli (strain K12) GN=yhaJ PE=4 SV=1
P67662	AAER_ECOLI HTH-type transcriptional activator aaeR OS=Escherichia coli (strain K12) GN=aaeR PE=4 SV=1
P67762	YHBP_ECOLI UPF0306 protein yhbP OS=Escherichia coli (strain K12) GN=yhbP PE=3 SV=1
P67910	HLDD_ECOLI ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1
P68066	GRCA_ECOLI Autonomous glycyl radical cofactor OS=Escherichia coli (strain K12) GN=grcA PE=1 SV=1
P68567	YHIQ_ECOLI UPF0341 protein yhiQ OS=Escherichia coli (strain K12) GN=yhiQ PE=1 SV=1
P68679	RS21_ECOLI 30S ribosomal protein S21 OS=Escherichia coli (strain K12) GN=rpsU PE=1 SV=2
P68688	GLRX1_ECOLI Glutaredoxin-1 OS=Escherichia coli (strain K12) GN=grxA PE=1 SV=1
P68699	ATPL_ECOLI ATP synthase subunit c OS=Escherichia coli (strain K12) GN=atpE PE=1 SV=1
P68739	NFI_ECOLI Endonuclease V OS=Escherichia coli (strain K12) GN=nfi PE=1 SV=1
P68767	AMPA_ECOLI Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1
P68919	RL25_ECOLI 50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1
P69222	IF1_ECOLI Translation initiation factor IF-1 OS=Escherichia coli (strain K12) GN=infA PE=1 SV=2
P69228	BAER_ECOLI Transcriptional regulatory protein baeR OS=Escherichia coli (strain K12) GN=baeR PE=3 SV=1
P69380	FIEF_ECOLI Ferrous-iron efflux pump fieF OS=Escherichia coli (strain K12) GN=fieF PE=1 SV=1
P69411	RCSF_ECOLI Protein rcsF OS=Escherichia coli (strain K12) GN=rcsF PE=4 SV=1
P69423	TATC_ECOLI Sec-independent protein translocase protein tatC OS=Escherichia coli (strain K12) GN=tatC PE=1 SV=2
P69425	TATB_ECOLI Sec-independent protein translocase protein tatB OS=Escherichia coli (strain K12) GN=tatB PE=1 SV=1
P69428	TATA_ECOLI Sec-independent protein translocase protein tatA OS=Escherichia coli (strain K12) GN=tatA PE=1 SV=1
P69441	KAD_ECOLI Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1
P69451	LCFA_ECOLI Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1
P69503	APT_ECOLI Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1
P69741	MBHT_ECOLI Hydrogenase-2 small chain OS=Escherichia coli (strain K12) GN=hybO PE=1 SV=1
P69776	LPP_ECOLI Major outer membrane lipoprotein OS=Escherichia coli (strain K12) GN=lpp PE=1 SV=1
P69783	PTGA_ECOLI Glucose-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=crr PE=1 SV=2
P69786	PTGCB_ECOLI PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) GN=ptsG PE=1 SV=1
P69797	PTNAB_ECOLI PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) GN=manX PE=1 SV=2
P69801	PTNC_ECOLI Mannose permease IIC component OS=Escherichia coli (strain K12) GN=manY PE=1 SV=1
P69805	PTND_ECOLI Mannose permease IID component OS=Escherichia coli (strain K12) GN=manZ PE=1 SV=1
P69811	PTFAH_ECOLI Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1
P69828	PTKA_ECOLI Galactitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=gatA PE=4 SV=1
P69829	PTSN_ECOLI Nitrogen regulatory protein OS=Escherichia coli (strain K12) GN=ptsN PE=1 SV=1
P69831	PTKC_ECOLI Galactitol permease IIC component OS=Escherichia coli (strain K12) GN=gatC PE=1 SV=1
P69853	DMSD_ECOLI Twin-arginine leader-binding protein dmsD OS=Escherichia coli (strain K12) GN=dmsD PE=1 SV=2
P69874	POTA_ECOLI Spermidine/putrescine import ATP-binding protein potA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1
P69913	CSRA_ECOLI Carbon storage regulator OS=Escherichia coli (strain K12) GN=csrA PE=1 SV=1
P69924	RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2
P71242	WCAK_ECOLI Colanic acid biosynthesis protein wcaK OS=Escherichia coli (strain K12) GN=wcaK PE=3 SV=2
P71298	INTF_ECOLI Putative prophage CP4-6 integrase OS=Escherichia coli (strain K12) GN=intF PE=3 SV=1
P75726	CILA_ECOLI Citrate lyase alpha chain OS=Escherichia coli (strain K12) GN=citF PE=3 SV=1
P75728	UBIF_ECOLI 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase OS=Escherichia coli (strain K12) GN=ubiF PE=1 SV=1
P75745	YBGK_ECOLI Uncharacterized protein ybgK OS=Escherichia coli (strain K12) GN=ybgK PE=4 SV=1
P75746	YBGL_ECOLI UPF0271 protein ybgL OS=Escherichia coli (strain K12) GN=ybgL PE=1 SV=1
P75777	YBHG_ECOLI UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1
P75782	RLMF_ECOLI Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rlmF PE=1 SV=2
P75796	GSIA_ECOLI Glutathione import ATP-binding protein gsiA OS=Escherichia coli (strain K12) GN=gsiA PE=1 SV=3
P75801	YLIF_ECOLI Uncharacterized membrane protein yliF OS=Escherichia coli (strain K12) GN=yliF PE=4 SV=1
P75809	YBJI_ECOLI Phosphatase ybjI OS=Escherichia coli (strain K12) GN=ybjI PE=1 SV=3
P75817	RUMB_ECOLI 23S rRNA (uracil-5-)-methyltransferase rumB OS=Escherichia coli (strain K12) GN=rumB PE=3 SV=1
P75818	YBJP_ECOLI Uncharacterized lipoprotein ybjP OS=Escherichia coli (strain K12) GN=ybjP PE=1 SV=1
P75821	YBJS_ECOLI Uncharacterized protein ybjS OS=Escherichia coli (strain K12) GN=ybjS PE=4 SV=2
P75822	YBJT_ECOLI Uncharacterized protein ybjT OS=Escherichia coli (strain K12) GN=ybjT PE=4 SV=2
P75823	LTAE_ECOLI Low specificity L-threonine aldolase OS=Escherichia coli (strain K12) GN=ltaE PE=1 SV=1
P75829	YBJX_ECOLI Uncharacterized protein ybjX OS=Escherichia coli (strain K12) GN=ybjX PE=4 SV=1
P75830	MACA_ECOLI Macrolide-specific efflux protein macA OS=Escherichia coli (strain K12) GN=macA PE=1 SV=2
P75838	YCAO_ECOLI UPF0142 protein ycaO OS=Escherichia coli (strain K12) GN=ycaO PE=3 SV=2
P75849	YCBL_ECOLI Uncharacterized protein ycbL OS=Escherichia coli (strain K12) GN=ycbL PE=3 SV=1
P75863	YCBX_ECOLI Uncharacterized protein ycbX OS=Escherichia coli (strain K12) GN=ycbX PE=1 SV=1
P75864	RLML_ECOLI Ribosomal RNA large subunit methyltransferase L OS=Escherichia coli (strain K12) GN=rlmL PE=1 SV=1
P75867	LONH_ECOLI Putative protease La homolog OS=Escherichia coli (strain K12) GN=ycbZ PE=3 SV=1
P75870	YCCS_ECOLI Inner membrane protein yccS OS=Escherichia coli (strain K12) GN=yccS PE=1 SV=2
P75874	YCCU_ECOLI Uncharacterized protein yccU OS=Escherichia coli (strain K12) GN=yccU PE=1 SV=2
P75876	RLMI_ECOLI Ribosomal RNA large subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rlmI PE=1 SV=2
P75901	EFEU_ECOLI Putative ferrous iron permease efeU OS=Escherichia coli (strain K12) GN=efeU PE=5 SV=2
P75913	GHRA_ECOLI Glyoxylate/hydroxypyruvate reductase A OS=Escherichia coli (strain K12) GN=ghrA PE=1 SV=2
P75914	YCDX_ECOLI Putative hydrolase ycdX OS=Escherichia coli (strain K12) GN=ycdX PE=1 SV=1
P75915	YCDY_ECOLI Uncharacterized protein ycdY OS=Escherichia coli (strain K12) GN=ycdY PE=3 SV=1
P75919	YMDC_ECOLI Uncharacterized protein ymdC OS=Escherichia coli (strain K12) GN=ymdC PE=3 SV=2
P75949	NAGZ_ECOLI Beta-hexosaminidase OS=Escherichia coli (strain K12) GN=nagZ PE=1 SV=1
P75957	LOLD_ECOLI Lipoprotein-releasing system ATP-binding protein lolD OS=Escherichia coli (strain K12) GN=lolD PE=1 SV=2
P75958	LOLE_ECOLI Lipoprotein-releasing system transmembrane protein lolE OS=Escherichia coli (strain K12) GN=lolE PE=1 SV=3
P76002	YCGK_ECOLI Uncharacterized protein ycgK OS=Escherichia coli (strain K12) GN=ycgK PE=1 SV=1
P76014	DHAL_ECOLI PTS-dependent dihydroxyacetone kinase, ADP-binding subunit dhaL OS=Escherichia coli (strain K12) GN=dhaL PE=1 SV=3
P76016	DHAR_ECOLI PTS-dependent dihydroxyacetone kinase operon regulatory protein OS=Escherichia coli (strain K12) GN=dhaR PE=4 SV=2
P76027	OPPD_ECOLI Oligopeptide transport ATP-binding protein oppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2
P76034	YCIT_ECOLI Uncharacterized HTH-type transcriptional regulator yciT OS=Escherichia coli (strain K12) GN=yciT PE=4 SV=1
P76046	YCJX_ECOLI Uncharacterized protein ycjX OS=Escherichia coli (strain K12) GN=ycjX PE=1 SV=1
P76053	YDAL_ECOLI Uncharacterized protein ydaL OS=Escherichia coli (strain K12) GN=ydaL PE=4 SV=1
P76055	TTCA_ECOLI tRNA 2-thiocytidine biosynthesis protein ttcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1
P76078	PAAB_ECOLI Phenylacetic acid degradation protein paaB OS=Escherichia coli (strain K12) GN=paaB PE=2 SV=1
P76104	YDCP_ECOLI Uncharacterized protease ydcP OS=Escherichia coli (strain K12) GN=ydcP PE=1 SV=2
P76115	YNCD_ECOLI Probable tonB-dependent receptor yncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1
P76116	YNCE_ECOLI Uncharacterized protein yncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1
P76177	YDGH_ECOLI Protein ydgH OS=Escherichia coli (strain K12) GN=ydgH PE=1 SV=1
P76185	YDHJ_ECOLI Uncharacterized protein ydhJ OS=Escherichia coli (strain K12) GN=ydhJ PE=3 SV=2
P76193	YNHG_ECOLI Uncharacterized protein ynhG OS=Escherichia coli (strain K12) GN=ynhG PE=3 SV=1
P76208	YNIB_ECOLI Uncharacterized protein yniB OS=Escherichia coli (strain K12) GN=yniB PE=4 SV=1
P76245	YEAP_ECOLI Probable diguanylate cyclase yeaP OS=Escherichia coli (strain K12) GN=yeaP PE=1 SV=2
P76250	YEAT_ECOLI Uncharacterized HTH-type transcriptional regulator yeaT OS=Escherichia coli (strain K12) GN=yeaT PE=4 SV=2
P76251	TTUC_ECOLI Probable tartrate dehydrogenase/decarboxylase OS=Escherichia coli (strain K12) GN=yeaU PE=1 SV=1
P76256	YEAZ_ECOLI M22 peptidase homolog yeaZ OS=Escherichia coli (strain K12) GN=yeaZ PE=1 SV=1
P76257	YOAA_ECOLI Probable ATP-dependent helicase yoaA OS=Escherichia coli (strain K12) GN=yoaA PE=3 SV=1
P76268	KDGR_ECOLI Transcriptional regulator kdgR OS=Escherichia coli (strain K12) GN=kdgR PE=1 SV=1
P76270	YEBR_ECOLI UPF0067 protein yebR OS=Escherichia coli (strain K12) GN=yebR PE=1 SV=2
P76272	YEBT_ECOLI Uncharacterized protein yebT OS=Escherichia coli (strain K12) GN=yebT PE=1 SV=2
P76273	RSMF_ECOLI Ribosomal RNA small subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rsmF PE=1 SV=2
P76290	CMOA_ECOLI tRNA (cmo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoA PE=1 SV=1
P76298	FLHA_ECOLI Flagellar biosynthesis protein flhA OS=Escherichia coli (strain K12) GN=flhA PE=1 SV=1
P76339	YEDV_ECOLI Putative sensor-like histidine kinase yedV OS=Escherichia coli (strain K12) GN=yedV PE=1 SV=1
P76340	YEDW_ECOLI Probable transcriptional regulatory protein yedW OS=Escherichia coli (strain K12) GN=yedW PE=1 SV=2
P76346	MTFA_ECOLI Protein mtfA OS=Escherichia coli (strain K12) GN=mtfA PE=1 SV=2
P76372	WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2
P76373	UDG_ECOLI UDP-glucose 6-dehydrogenase OS=Escherichia coli (strain K12) GN=ugd PE=1 SV=1
P76389	YEGH_ECOLI UPF0053 protein yegH OS=Escherichia coli (strain K12) GN=yegH PE=3 SV=2
P76397	MDTA_ECOLI Multidrug resistance protein mdtA OS=Escherichia coli (strain K12) GN=mdtA PE=2 SV=2
P76399	MDTC_ECOLI Multidrug resistance protein mdtC OS=Escherichia coli (strain K12) GN=mdtC PE=1 SV=1
P76422	THID_ECOLI Phosphomethylpyrimidine kinase OS=Escherichia coli (strain K12) GN=thiD PE=1 SV=1
P76445	YEIU_ECOLI Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2
P76472	ARND_ECOLI Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase arnD OS=Escherichia coli (strain K12) GN=arnD PE=1 SV=1
P76473	ARNT_ECOLI Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain K12) GN=arnT PE=1 SV=1
P76491	YFBR_ECOLI 5'-nucleotidase yfbR OS=Escherichia coli (strain K12) GN=yfbR PE=1 SV=1
P76502	SIXA_ECOLI Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1
P76503	FADI_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1
P76506	VACJ_ECOLI Lipoprotein vacJ OS=Escherichia coli (strain K12) GN=vacJ PE=1 SV=1
P76535	MURQ_ECOLI N-acetylmuramic acid 6-phosphate etherase OS=Escherichia coli (strain K12) GN=murQ PE=1 SV=1
P76537	YFEY_ECOLI Uncharacterized protein yfeY OS=Escherichia coli (strain K12) GN=yfeY PE=1 SV=1
P76558	MAO2_ECOLI NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1
P76576	YFGM_ECOLI UPF0070 protein yfgM OS=Escherichia coli (strain K12) GN=yfgM PE=3 SV=1
P76578	YFHM_ECOLI Uncharacterized lipoprotein yfhM OS=Escherichia coli (strain K12) GN=yfhM PE=4 SV=1
P76594	YFIQ_ECOLI Uncharacterized protein yfiQ OS=Escherichia coli (strain K12) GN=yfiQ PE=4 SV=1
P76621	CSID_ECOLI Protein csiD OS=Escherichia coli (strain K12) GN=csiD PE=1 SV=2
P76658	HLDE_ECOLI Bifunctional protein hldE OS=Escherichia coli (strain K12) GN=hldE PE=1 SV=1
P76909	YNJD_ECOLI Uncharacterized ABC transporter ATP-binding protein ynjD OS=Escherichia coli (strain K12) GN=ynjD PE=3 SV=2
P77171	YDCI_ECOLI Uncharacterized HTH-type transcriptional regulator ydcI OS=Escherichia coli (strain K12) GN=ydcI PE=4 SV=2
P77173	ZIPA_ECOLI Cell division protein zipA OS=Escherichia coli (strain K12) GN=zipA PE=1 SV=3
P77179	RNFE_ECOLI Electron transport complex protein rnfE OS=Escherichia coli (strain K12) GN=rnfE PE=1 SV=1
P77187	YAHF_ECOLI Uncharacterized protein yahF OS=Escherichia coli (strain K12) GN=yahF PE=4 SV=1
P77258	NEMA_ECOLI N-ethylmaleimide reductase OS=Escherichia coli (strain K12) GN=nemA PE=1 SV=1
P77285	RNFG_ECOLI Electron transport complex protein rnfG OS=Escherichia coli (strain K12) GN=rnfG PE=3 SV=1
P77300	YAGI_ECOLI Uncharacterized HTH-type transcriptional regulator yagI OS=Escherichia coli (strain K12) GN=yagI PE=4 SV=1
P77301	YBAP_ECOLI Uncharacterized protein ybaP OS=Escherichia coli (strain K12) GN=ybaP PE=4 SV=1
P77302	YDAM_ECOLI Uncharacterized protein ydaM OS=Escherichia coli (strain K12) GN=ydaM PE=4 SV=2
P77307	YBBM_ECOLI UPF0014 inner membrane protein ybbM OS=Escherichia coli (strain K12) GN=ybbM PE=1 SV=2
P77309	YNEJ_ECOLI Uncharacterized HTH-type transcriptional regulator yneJ OS=Escherichia coli (strain K12) GN=yneJ PE=4 SV=1
P77330	BORD_ECOLI Lipoprotein bor homolog from lambdoid prophage DLP12 OS=Escherichia coli (strain K12) GN=borD PE=3 SV=1
P77334	GMR_ECOLI Protein gmr OS=Escherichia coli (strain K12) GN=gmr PE=4 SV=1
P77338	KEFA_ECOLI Potassium efflux system kefA OS=Escherichia coli (strain K12) GN=kefA PE=1 SV=1
P77348	MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2
P77395	YBBN_ECOLI Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2
P77398	ARNA_ECOLI Bifunctional polymyxin resistance protein arnA OS=Escherichia coli (strain K12) GN=arnA PE=1 SV=1
P77399	FADJ_ECOLI Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1
P77433	YKGG_ECOLI Uncharacterized protein ykgG OS=Escherichia coli (strain K12) GN=ykgG PE=3 SV=2
P77434	YFDZ_ECOLI Uncharacterized aminotransferase yfdZ OS=Escherichia coli (strain K12) GN=yfdZ PE=2 SV=1
P77439	PTFX1_ECOLI Multiphosphoryl transfer protein 1 OS=Escherichia coli (strain K12) GN=fryA PE=1 SV=1
P77444	SUFS_ECOLI Cysteine desulfurase OS=Escherichia coli (strain K12) GN=sufS PE=1 SV=1
P77475	YQAB_ECOLI Phosphatase yqaB OS=Escherichia coli (strain K12) GN=yqaB PE=1 SV=1
P77488	DXS_ECOLI 1-deoxy-D-xylulose-5-phosphate synthase OS=Escherichia coli (strain K12) GN=dxs PE=1 SV=3
P77499	SUFC_ECOLI Probable ATP-dependent transporter sufC OS=Escherichia coli (strain K12) GN=sufC PE=1 SV=1
P77522	SUFB_ECOLI FeS cluster assembly protein sufB OS=Escherichia coli (strain K12) GN=sufB PE=1 SV=2
P77529	YDJN_ECOLI Uncharacterized symporter ydjN OS=Escherichia coli (strain K12) GN=ydjN PE=3 SV=1
P77552	YDHQ_ECOLI Uncharacterized protein ydhQ OS=Escherichia coli (strain K12) GN=ydhQ PE=4 SV=1
P77559	YNFL_ECOLI Uncharacterized HTH-type transcriptional regulator ynfL OS=Escherichia coli (strain K12) GN=ynfL PE=4 SV=1
P77562	YAIW_ECOLI Uncharacterized protein yaiW OS=Escherichia coli (strain K12) GN=yaiW PE=4 SV=1
P77569	MHPR_ECOLI Mhp operon transcriptional activator OS=Escherichia coli (strain K12) GN=mhpR PE=4 SV=2
P77581	ASTC_ECOLI Succinylornithine transaminase OS=Escherichia coli (strain K12) GN=astC PE=1 SV=1
P77611	RNFC_ECOLI Electron transport complex protein rnfC OS=Escherichia coli (strain K12) GN=rnfC PE=3 SV=1
P77625	YFBT_ECOLI Phosphatase yfbT OS=Escherichia coli (strain K12) GN=yfbT PE=1 SV=2
P77649	YDIU_ECOLI UPF0061 protein ydiU OS=Escherichia coli (strain K12) GN=ydiU PE=1 SV=1
P77667	SUFA_ECOLI Protein sufA OS=Escherichia coli (strain K12) GN=sufA PE=1 SV=1
P77690	ARNB_ECOLI UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase OS=Escherichia coli (strain K12) GN=arnB PE=1 SV=2
P77717	YBAY_ECOLI Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1
P77718	THII_ECOLI Thiamine biosynthesis protein thiI OS=Escherichia coli (strain K12) GN=thiI PE=3 SV=1
P77730	YDCR_ECOLI Uncharacterized HTH-type transcriptional regulator ydcR OS=Escherichia coli (strain K12) GN=ydcR PE=1 SV=1
P77735	YAJO_ECOLI Uncharacterized oxidoreductase yajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2
P77736	YAHD_ECOLI Putative ankyrin repeat protein yahD OS=Escherichia coli (strain K12) GN=yahD PE=4 SV=1
P77737	OPPF_ECOLI Oligopeptide transport ATP-binding protein oppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1
P77739	YNIA_ECOLI Uncharacterized protein yniA OS=Escherichia coli (strain K12) GN=yniA PE=3 SV=1
P77744	ABGR_ECOLI HTH-type transcriptional regulator abgR OS=Escherichia coli (strain K12) GN=abgR PE=1 SV=1
P77748	YDIJ_ECOLI Uncharacterized protein ydiJ OS=Escherichia coli (strain K12) GN=ydiJ PE=4 SV=1
P77756	QUEC_ECOLI Queuosine biosynthesis protein queC OS=Escherichia coli (strain K12) GN=queC PE=1 SV=1
P77757	ARNC_ECOLI Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase OS=Escherichia coli (strain K12) GN=arnC PE=1 SV=1
P77766	TRPH_ECOLI Protein trpH OS=Escherichia coli (strain K12) GN=trpH PE=3 SV=1
P77774	YFGL_ECOLI Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1
P77775	YFCH_ECOLI Epimerase family protein yfcH OS=Escherichia coli (strain K12) GN=yfcH PE=3 SV=1
P77783	YNFF_ECOLI Probable dimethyl sulfoxide reductase chain ynfF OS=Escherichia coli (strain K12) GN=ynfF PE=3 SV=4
P77804	YDGA_ECOLI Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1
P77808	CINAL_ECOLI CinA-like protein OS=Escherichia coli (strain K12) GN=yfaY PE=1 SV=1
P78061	PUUA_ECOLI Gamma-glutamylputrescine synthetase OS=Escherichia coli (strain K12) GN=puuA PE=3 SV=2
P80645	SSUD_ECOLI Alkanesulfonate monooxygenase OS=Escherichia coli (strain K12) GN=ssuD PE=1 SV=3
Q2MB16	YOBH_ECOLI Uncharacterized protein yobH OS=Escherichia coli (strain K12) GN=yobH PE=4 SV=1
Q46798	YGER_ECOLI Uncharacterized lipoprotein ygeR OS=Escherichia coli (strain K12) GN=ygeR PE=4 SV=2
Q46800	XDHB_ECOLI Xanthine dehydrogenase FAD-binding subunit OS=Escherichia coli (strain K12) GN=xdhB PE=3 SV=1
Q46833	YGHE_ECOLI Putative general secretion pathway protein L-type yghE OS=Escherichia coli (strain K12) GN=yghE PE=5 SV=1
Q46837	ACFD_ECOLI Putative lipoprotein acfD homolog OS=Escherichia coli (strain K12) GN=yghJ PE=4 SV=3
Q46840	YGHO_ECOLI Putative uncharacterized protein yghO (Fragment) OS=Escherichia coli (strain K12) GN=yghO PE=5 SV=2
Q46855	YQHC_ECOLI Uncharacterized HTH-type transcriptional regulator yqhC OS=Escherichia coli (strain K12) GN=yqhC PE=4 SV=2
Q46857	DKGA_ECOLI 2,5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) GN=dkgA PE=1 SV=3
Q46868	YQIC_ECOLI Uncharacterized protein yqiC OS=Escherichia coli (strain K12) GN=yqiC PE=1 SV=2
Q46871	YQJH_ECOLI Uncharacterized protein yqjH OS=Escherichia coli (strain K12) GN=yqjH PE=4 SV=1
Q46877	NORV_ECOLI Anaerobic nitric oxide reductase flavorubredoxin OS=Escherichia coli (strain K12) GN=norV PE=1 SV=1
Q46889	YGBK_ECOLI Uncharacterized protein ygbK OS=Escherichia coli (strain K12) GN=ygbK PE=4 SV=1
Q46920	QUEF_ECOLI NADPH-dependent 7-cyano-7-deazaguanine reductase OS=Escherichia coli (strain K12) GN=queF PE=1 SV=1
Q46925	CSDA_ECOLI Cysteine sulfinate desulfinase OS=Escherichia coli (strain K12) GN=csdA PE=1 SV=1
Q46927	YGDL_ECOLI Uncharacterized protein ygdL OS=Escherichia coli (strain K12) GN=ygdL PE=3 SV=1
Q46939	YQEF_ECOLI Probable acetyl-CoA acetyltransferase OS=Escherichia coli (strain K12) GN=yqeF PE=3 SV=2
Q47129	FEAR_ECOLI Transcriptional activator feaR OS=Escherichia coli (strain K12) GN=feaR PE=1 SV=1
Q47141	HCAR_ECOLI Hca operon transcriptional activator OS=Escherichia coli (strain K12) GN=hcaR PE=1 SV=2
Q47146	FADE_ECOLI Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2
Q47147	YAFJ_ECOLI Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1
Q47319	YFIP_ECOLI DTW domain-containing protein yfiP OS=Escherichia coli (strain K12) GN=yfiP PE=3 SV=2
Q47622	SAPA_ECOLI Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1
Q57261	TRUD_ECOLI tRNA pseudouridine synthase D OS=Escherichia coli (strain K12) GN=truD PE=1 SV=1
Q59385	COPA_ECOLI Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4
Q6BEX5	YJDP_ECOLI Uncharacterized protein yjdP OS=Escherichia coli (strain K12) GN=yjdP PE=4 SV=1
