Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b0116	lipoamide dehydrogenase (NADH); component of 2-oxodehydrogenase and pyruvate complexes; L-protein of glycine cleavage complex	ECBD_3503	dihydrolipoamide dehydrogenase	96.83	
b0351	acetaldehyde dehydrogenase	ECBD_3306	acetaldehyde dehydrogenase (acetylating)	96.83	
b3084	putative enzyme	ECBD_0658	rRNA (guanine-N(2)-)-methyltransferase	96.82	
b1576	orf, hypothetical protein	ECBD_2070	protein of unknown function DUF1482	96.82	
b1126	ATP-binding component of spermidine/putrescine transport	ECBD_2473	spermidine/putrescine ABC transporter ATPase subunit	96.82	
b3716	orf, hypothetical protein	ECBD_4316	inner membrane protein	96.81	
b3166	tRNA pseudouridine 5S synthase	ECBD_0574	tRNA pseudouridine synthase B	96.81	
b1127	putative peptidase T	ECBD_2472	peptidase T	96.81	
b1834	orf, hypothetical protein	ECBD_1806	Mammalian cell entry related domain protein	96.80	
b1943	flagellar hook-length control protein	ECBD_1702	flagellar hook-length control protein	96.80	
b2323	3-oxoacyl-[acyl-carrier-protein] synthase I	ECBD_1336	Beta-ketoacyl synthase	96.79	
b1453	L-asparagine permease	ECBD_2186	amino acid permease-associated region	96.79	
b2822	DNA helicase, ATP-dependent dsDNA/ssDNA exonuclease V subunit, ssDNA endonuclease	ECBD_0903	exodeoxyribonuclease V, gamma subunit	96.79	
b4375	peptide chain release factor RF-3	ECBD_3646	peptide chain release factor 3	96.78	
b4305	putative lyase/synthase	ECBD_3733	peptidase M42 family protein	96.78	
b3539	putative transporter protein	ECBD_0197	serine transporter	96.78	
b0179	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase; third step of endotoxin (lipidA) synthesis	ECBD_3440	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase	96.77	
b1109	respiratory NADH dehydrogenase	ECBD_2492	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	96.77	
b2515	orf, hypothetical protein	ECBD_1171	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	96.77	
b4280	putative dehydrogenase	ECBD_3762	oxidoreductase domain protein	96.77	
b3723	positive regulation of bgl operon	ECBD_4309	transcriptional antiterminator, BglG	96.76	
b2247	putative racemase	ECBD_1412	Mandelate racemase/muconate lactonizing protein	96.75	
b2881	putative dehydrogenase	ECBD_0856	selenate reductase, molybdenum-binding subunit	96.75	
b0314	high-affinity choline transport	ECBD_3344	choline/carnitine/betaine transporter	96.75	
b2249	orf, hypothetical protein	ECBD_1410	competence/damage-inducible protein CinA	96.75	
b2113	putative ATPase	ECBD_1545	mrp protein	96.74	
b0167	protein PII; uridylyltransferase acts on regulator of glnA	ECBD_3452	UTP-GlnB uridylyltransferase, GlnD	96.74	
b4325	orf, hypothetical protein	ECBD_3709	conserved hypothetical protein	96.73	
b0792	orf, hypothetical protein	ECBD_2831	ABC-2 type transporter	96.73	
b2937	agmatinase	ECBD_0801	agmatinase	96.73	
b1988	nitrogen assimilation control protein	ECBD_1660	transcriptional regulator, LysR family	96.72	
b0037	probable crotonobetaine/carnitine-CoA ligase	ECBD_3578	AMP-dependent synthetase and ligase	96.71	
b4294	IS1 protein InsA	ECBD_3078	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3297	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3380	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_1569	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_1442	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_0927	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_1062	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3407	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3690	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_0298	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_1313	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3269	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3683	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_1125	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3723	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3032	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_0372	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_0099	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_2223	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3049	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_1546	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3103	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3596	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_3740	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_1626	Insertion element protein	96.70	
b4294	IS1 protein InsA	ECBD_2482	Insertion element protein	96.70	
b3806	adenylate cyclase	ECBD_4236	putative adenylate cyclase	96.69	
b1203	putative GTP-binding protein	ECBD_2418	GTP-binding protein YchF	96.69	
b1012	orf, hypothetical protein	ECBD_2582	Luciferase-like monooxygenase	96.69	
b2081	orf, hypothetical protein	ECBD_1572	peptidase U32	96.68	
b2907	2-octaprenyl-6-methoxyphenol--> 2-octaprenyl-6-methoxy-1, 4-benzoquinone	ECBD_0830	Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family	96.68	
b2995	probable cytochrome Ni/Fe component of hydrogenase-2	ECBD_0743	Polysulphide reductase NrfD	96.68	
b3201	putative ATP-binding component of a transport system	ECBD_0541	ABC transporter related	96.68	
b2133	D-lactate dehydrogenase, FAD protein, NADH independent	ECBD_1525	D-lactate dehydrogenase	96.67	
b3482	rhsB protein in rhs element	ECBD_0259	YD repeat protein	96.66	
b3488	orf, hypothetical protein	ECBD_0252	conserved hypothetical protein	96.66	
b2889	putative enzyme	ECBD_0848	isopentenyl-diphosphate delta-isomerase, type 1	96.66	
b3566	xylose binding protein transport system	ECBD_0168	D-xylose ABC transporter, periplasmic substrate-binding protein	96.66	
b1211	peptide chain release factor RF-1	ECBD_2410	peptide chain release factor 1	96.66	
b3903	L-rhamnose isomerase	ECBD_4121	L-rhamnose isomerase	96.65	
b3917	periplasmic sulfate-binding protein	ECBD_4107	sulfate ABC transporter, periplasmic sulfate-binding protein	96.65	
b2903	glycine decarboxylase, P protein of glycine cleavage system	ECBD_0834	glycine dehydrogenase	96.65	
b0421	geranyltranstransferase (farnesyldiphosphate synthase)	ECBD_3240	Polyprenyl synthetase	96.65	
b3197	putative isomerase	ECBD_0545	KpsF/GutQ family protein	96.64	
b2380	putative sensor protein	ECBD_1292	signal transduction histidine kinase, LytS	96.63	
b0941	homolog of Salmonella FimH protein	ECBD_2654	Fimbrial protein	96.62	
b2709	putative 2-component transcriptional regulator	ECBD_1016	Sigma 54 interacting domain protein	96.62	
b2074	putative membrane protein	ECBD_1579	efflux transporter, RND family, MFP subunit	96.62	
b0980	phosphoanhydride phosphorylase; pH 2.5 acid phosphatase; periplasmic	ECBD_2614	Acid phosphatase	96.62	
b3493	low-affinity phosphate transport	ECBD_0248	phosphate transporter	96.62	
b3127	putative transport protein	ECBD_0615	d-galactonate transporter	96.62	
b1002	periplasmic glucose-1-phosphatase	ECBD_2592	Glucose-1-phosphatase	96.61	
b4192	orf, hypothetical protein	ECBD_3842	putative L-ascorbate 6-phosphate lactonase	96.61	
b3056	tRNA nucleotidyl transferase	ECBD_0685	polynucleotide adenylyltransferase/metal dependent phosphohydrolase	96.60	
b2699	DNA strand exchange and renaturation, DNA-dependent ATPase, DNA- and ATP-dependent coprotease	ECBD_1026	recA protein	96.60	
b3187	octaprenyl diphosphate synthase	ECBD_0555	Trans-hexaprenyltranstransferase	96.59	
b3800	putative arylsulfatase regulator	ECBD_4242	Radical SAM domain protein	96.59	
b2223	short chain fatty acid transporter	ECBD_1436	short chain fatty acid transporter	96.59	
b4120	melibiose permease II	ECBD_3911	sugar (Glycoside-Pentoside-Hexuronide) transporter	96.58	
b4221	orf, hypothetical protein	ECBD_3809	protein of unknown function DUF490	96.58	
b1286	RNase II, mRNA degradation	ECBD_2331	exoribonuclease II	96.58	
b0828	putative asparaginase	ECBD_2795	peptidase T2 asparaginase 2	96.57	
b2097	orf, hypothetical protein	ECBD_1560	Fructose-bisphosphate aldolase	96.57	
b1883	response regulator for chemotaxis (cheA sensor); protein methylesterase	ECBD_1755	response regulator receiver modulated CheB methylesterase	96.56	
b1062	dihydro-orotase	ECBD_2538	dihydroorotase, homodimeric type	96.55	
b1704	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, tryptophan repressible)	ECBD_1941	phospho-2-dehydro-3-deoxyheptonate aldolase	96.55	
b3080	putative isomerase	ECBD_0662	glycosyl hydrolase	96.55	
b3529	orf, hypothetical protein	ECBD_0210	diguanylate cyclase/phosphodiesterase with extracellular sensor	96.55	
b1168	putative proteases	ECBD_2454	diguanylate phosphodiesterase	96.54	
b3786	UDP-N-acetyl glucosamine -2-epimerase; synthesis of enterobacterial common antigen (ECA)	ECBD_4253	UDP-N-acetylglucosamine 2-epimerase	96.54	
b4122	fumarase B= fumarate hydratase Class I; anaerobic isozyme	ECBD_3909	hydro-lyase, Fe-S type, tartrate/fumarate subfamily, beta subunit	96.53	
b0312	NAD+-dependent betaine aldehyde dehydrogenase	ECBD_3346	betaine aldehyde dehydrogenase	96.53	
b4292	regulator for fec operon, periplasmic	ECBD_3746	anti-FecI sigma factor, FecR	96.52	
b2989	orf, hypothetical protein	ECBD_0749	Glutathione S-transferase domain protein	96.52	
b3732	membrane-bound ATP synthase, F1 sector, beta-subunit	ECBD_4300	ATP synthase F1, beta subunit	96.52	
b3530	putative oxidoreductase subunit	ECBD_0209	cellulose synthase operon C domain protein	96.51	
b1059	sarcosine oxidase-like protein	ECBD_2541	Sarcosine oxidase	96.50	
b0774	7,8-diaminopelargonic acid synthetase	ECBD_2849	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	96.50	
b2497	uracil transport	ECBD_1191	uracil-xanthine permease	96.50	
b0452	acyl-CoA thioesterase II	ECBD_3203	acyl-CoA thioesterase II	96.50	
b4371	putative enzyme	ECBD_3650	rRNA (guanine-N(2)-)-methyltransferase	96.50	
b2296	acetate kinase	ECBD_1363	acetate kinase	96.5	
b3528	uptake of C4-dicarboxylic acids	ECBD_0211	sodium:dicarboxylate symporter	96.49	
b3734	membrane-bound ATP synthase, F1 sector, alpha-subunit	ECBD_4298	ATP synthase F1, alpha subunit	96.49	
b4058	excision nuclease subunit A	ECBD_3974	excinuclease ABC, A subunit	96.48	
b2574	quinolinate synthetase, B protein	ECBD_1106	L-aspartate oxidase	96.48	
b0111	regulates ampC	ECBD_3508	signaling modulator of AmpD, AmpE	96.47	
b0947	orf, hypothetical protein	ECBD_2648	MOSC domain containing protein	96.47	
b3241	putative membrane protein	ECBD_0505	efflux transporter, RND family, MFP subunit	96.45	
b2458	ethanolamine utilization; homolog of Salmonella acetyl/butyryl P transferase	ECBD_1232	phosphate acetyltransferase	96.44	
b0706	putative DNA ligase	ECBD_3404	transposase IS4 family protein	96.44	
b0932	aminopeptidase N	ECBD_2663	aminopeptidase N	96.43	
b3930	1,4-dihydroxy-2-naphthoate --> dimethylmenaquinone	ECBD_4094	1,4-dihydroxy-2-naphthoate octaprenyltransferase	96.42	
b0723	succinate dehydrogenase, flavoprotein subunit	ECBD_2937	succinate dehydrogenase or fumarate reductase, flavoprotein subunit	96.42	
b1745	orf, hypothetical protein	ECBD_1900	succinylarginine dihydrolase	96.42	
b1799	putative transcriptional regulator LYSR-type	ECBD_1843	transcriptional regulator, LysR family	96.41	
b4036	phage lambda receptor protein; maltose high-affinity receptor	ECBD_3999	porin LamB type	96.41	
b2099	orf, hypothetical protein	ECBD_1558	ADP-ribosylation/Crystallin J1	96.40	
b0274	IS1 protein InsB	ECBD_3724	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_0373	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_0100	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_1547	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_2481	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_1568	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_1061	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_3741	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_3406	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_3689	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_0928	IS1 transposase	96.40	
b0274	IS1 protein InsB	ECBD_1314	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_3724	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_0373	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_0100	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_1547	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_2481	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_1568	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_1061	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_3741	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_3406	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_3689	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_0928	IS1 transposase	96.40	
b0264	IS1 protein InsB	ECBD_1314	IS1 transposase	96.40	
b3572	alanine-alpha-ketoisovalerate (or valine-pyruvate) transaminase, transaminase C	ECBD_0162	aminotransferase class I and II	96.40	
b0950	paraquat-inducible protein A	ECBD_2645	integral membrane protein, PqiA family	96.40	
b1118	putative kinase	ECBD_2483	lipoprotein releasing system, transmembrane protein LolE	96.40	
b2410	putative cytochrome oxidase	ECBD_1273	Bile acid:sodium symporter	96.38	
b1320	putative LACI-type transcriptional regulator	ECBD_2297	transcriptional regulator, LacI family	96.38	
b1561	orf, hypothetical protein	ECBD_2082	conserved hypothetical protein	96.38	
b2386	putative transport protein	ECBD_1286	PTS system, fructose subfamily, IIC subunit	96.38	
b0445	orf, hypothetical protein	ECBD_3210	extracellular solute-binding protein family 5	96.38	
b1939	flagellar biosynthesis, component of motor switching and energizing, enabling rotation and determining its direction	ECBD_1706	flagellar motor switch protein FliG	96.37	
b3161	tryptophan-specific transport protein	ECBD_0579	aromatic amino acid transporter	96.37	
b3656	orf, hypothetical protein	ECBD_0068	glycoside hydrolase family 31	96.37	
b2520	orf, hypothetical protein	ECBD_1166	alpha-2-macroglobulin domain protein	96.37	
b1300	aldehyde dehydrogenase, prefers NADP over NAD	ECBD_2317	Aldehyde Dehydrogenase	96.36	
b1494	putative peptidase	ECBD_2145	peptidase M16 domain protein	96.36	
b2917	methylmalonyl-CoA mutase (MCM)	ECBD_0821	methylmalonyl-CoA mutase, large subunit	96.35	
b0164	orf, hypothetical protein	ECBD_3454	metallophosphoesterase	96.35	
b3136	putative tagatose-6-phosphate aldose/ketose isomerase	ECBD_0604	sugar isomerase, AgaS family	96.35	
b2737	orf, hypothetical protein	ECBD_0987	type III effector Hrp-dependent outers	96.35	
b3453	sn-glycerol 3-phosphate transport system; periplasmic binding protein	ECBD_0288	extracellular solute-binding protein family 1	96.34	
b0997	trimethylamine N-oxide reductase subunit	ECBD_2597	molybdopterin guanine dinucleotide-containing S/N-oxide reductase	96.34	
b2996	hydrogenase-2 small subunit	ECBD_0742	4Fe-4S ferredoxin iron-sulfur binding domain protein	96.34	
b2920	putative coenzyme A transferase	ECBD_0818	succinate CoA transferase	96.34	
b2780	CTP synthetase	ECBD_0949	CTP synthase	96.33	
b0522	phosphoribosylaminoimidazole carboxylase = AIR carboxylase, CO(2)-fixing subunit	ECBD_3136	phosphoribosylaminoimidazole carboxylase, ATPase subunit	96.32	
b1281	orotidine-5-phosphate decarboxylase	ECBD_2338	orotidine 5-phosphate decarboxylase	96.32	
b3498	oligopeptidase A	ECBD_0243	Oligopeptidase A	96.32	
b1525	putative aldehyde dehydrogenase	ECBD_2117	Aldehyde Dehydrogenase	96.32	
b1243	oligopeptide transport; periplasmic binding protein	ECBD_2379	extracellular solute-binding protein family 5	96.31	
b2050	putative colanic biosynthesis glycosyl transferase	ECBD_1605	glycosyl transferase group 1	96.31	
b0588	ATP-binding component of ferric enterobactin transport	ECBD_3067	ABC transporter related	96.30	
b3107	orf, hypothetical protein	ECBD_0631	conserved hypothetical protein	96.29	
b3220	orf, hypothetical protein	ECBD_0528	protein of unknown function DUF1016	96.29	
b0237	aminoacyl-histidine dipeptidase (peptidase D)	ECBD_3384	aminoacyl-histidine dipeptidase	96.28	
b1313	putative oxidoreductase	ECBD_2304	Alcohol dehydrogenase zinc-binding domain protein	96.28	
b3942	catalase; hydroperoxidase HPI(I)	ECBD_4081	catalase/peroxidase HPI	96.28	
b3911	probable sensor protein (histidine protein kinase), acting on arcA	ECBD_4112	histidine kinase	96.28	
b3368	uroporphyrinogen III methylase; sirohaeme biosynthesis	ECBD_0380	uroporphyrin-III C-methyltransferase	96.28	
b2802	L-fucose isomerase	ECBD_0920	L-fucose isomerase	96.27	
b3474	orf, hypothetical protein	ECBD_0267	protein of unknown function UPF0118	96.27	
b4388	3-phosphoserine phosphatase	ECBD_3632	phosphoserine phosphatase SerB	96.27	
b2820	DNA helicase, ATP-dependent dsDNA/ssDNA exonuclease V subunit, ssDNA endonuclease	ECBD_0905	exodeoxyribonuclease V, beta subunit	96.27	
b2796	probable serine transporter	ECBD_0932	serine transporter	96.27	
b3699	DNA gyrase subunit B, type II topoisomerase, ATPase activity	ECBD_0004	DNA gyrase, B subunit	96.26	
b3785	putative transport protein	ECBD_4254	lipopolysaccharide biosynthesis protein	96.26	
b3227	putative transport protein	ECBD_0520	anaerobic c4-dicarboxylate antiporter, DcuC family	96.26	
b0888	thioredoxin reductase	ECBD_2707	thioredoxin reductase	96.26	
b0004	threonine synthase	ECBD_3614	threonine synthase	96.26	
b1833	orf, hypothetical protein	ECBD_1807	integral membrane protein, PqiA family	96.25	
b2503	putative cytochrome C-type biogenesis protein	ECBD_1185	diguanylate cyclase/phosphodiesterase	96.25	
b0475	ferrochelatase: final enzyme of heme biosynthesis	ECBD_3181	ferrochelatase	96.25	
b0705	putative receptor protein	ECBD_2955	transposase IS4 family protein	96.25	
b1128	orf, hypothetical protein	ECBD_2471	Cupin 4 family protein	96.24	
b0584	outer membrane receptor for ferric enterobactin (enterochelin) and colicins B and D	ECBD_3072	TonB-dependent siderophore receptor	96.24	
b2045	putative galactokinase (EC 2.7.1.6).	ECBD_1610	polysaccharide pyruvyl transferase	96.24	
b2091	galactitol-1-phosphate dehydrogenase	ECBD_1566	Alcohol dehydrogenase GroES domain protein	96.24	
b4317	outer membrane protein; export and assembly of type 1 fimbriae, interrupted	ECBD_3718	fimbrial biogenesis outer membrane usher protein	96.24	
b4049	orf, hypothetical protein	ECBD_3984	TIM-barrel protein, yjbN family	96.23	
b2978	glycolate oxidase iron-sulfur subunit	ECBD_0760	FAD linked oxidase domain protein	96.22	
b2571	regulates activity of sigma-E factor	ECBD_1110	sigma E regulatory protein, MucB/RseB	96.22	
